公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1449,佳和,420.86,5.25,-13.95,-15.62,-15.62
1451,年興,1873.66,1.79,-5.93,-15.4,-12.41
1452,宏益,373.35,13.84,6.87,2.65,1.03
1453,大將,20.49,1.76,-34.88,-250.77,-251.28
1454,台富,392.3,8.45,-0.37,0.14,0.11
1455,集盛,2144.34,0.68,-3.81,-9.84,-9.41
1456,怡華,110.22,21.56,6.44,-6.67,-6.76
1457,宜進,830.53,10,3.93,-7.09,-10.24
1459,聯發,561.25,0.27,-6.53,-61.31,-61.53
1460,宏遠,1870.94,11.1,-8,-8,-8.11
1463,強盛,204.08,31.62,19.22,24.14,21.84
1464,得力,2568.61,18.43,4.63,2.66,2.46
1465,偉全,128.1,5.89,-8.8,3.44,0.21
1466,聚隆,786.01,9.04,0.06,-1.28,-1.58
1467,南緯,1211.45,10.48,-11.74,-11.81,-13.11
1468,昶和,243.56,18.57,6.83,12.12,12.12
1470,大統新創,206.23,24.4,9.98,10.7,8.37
1471,首利,121.79,2.62,-37.74,-52.73,-53.86
1472,三洋紡,65.71,-24.48,-93.17,-135.56,-136.29
1473,台南,1980.98,13.52,0.56,1.27,0.47
1474,弘裕,679.35,12.2,1.45,0.67,0.09
1475,業旺,7,7.47,-40.72,-38.2,-35.3
1476,儒鴻,6010.93,25.91,15.35,14.84,11.59
1477,聚陽,6130.88,19.62,9.72,9.53,6.94
1503,士電,6441.89,19.48,10.34,10.44,8.02
1504,東元,10664.93,24.82,7.58,5.98,5.06
1506,正道,249.68,0.04,-23.92,-35.79,-36.62
1507,永大,2853.17,26.85,8.19,8.9,5.36
1512,瑞利,328.61,7.97,-9.27,-9.51,-9.51
1513,中興電,3043.17,18.62,7.98,5.07,3.56
1514,亞力,1211.96,18.16,7.34,8.64,7.29
1515,力山,1415.34,16.68,6.74,7.87,6.3
1516,川飛,267.41,3.98,2.98,2.99,2.99
1517,利奇,515.62,8.06,-9.04,-13.51,-13.31
1519,華城,1676.71,15.28,0.31,0.44,0.24
1521,大億,1163.93,15.99,5.36,6.89,5.51
1522,堤維西,3859.59,21.38,3.23,2.15,1.63
1524,耿鼎,541.64,18.14,6.02,6.74,5.73
1525,江申,207.67,6.59,-3.91,12.39,7.29
1526,日馳,235.92,23.88,11.74,12.36,9.88
1527,鑽全,871.34,27.8,17.02,18.06,14.45
1528,恩德,816.06,32.74,0.42,-1.77,-1.72
1529,樂士,185.94,9.95,5.62,1.91,1.74
1530,亞崴,591.12,13.19,-2.83,86.31,92.26
1531,高林股,336.14,8.45,-11.83,-5.86,-5.4
1532,勤美,2266.18,19.11,0.57,-2.39,-2.89
1533,車王電,588.47,29.29,-0.68,-0.56,-2.06
1535,中宇,2018.18,6.54,0.8,1.75,1.5
1536,和大,1410.66,26.42,11.53,11.73,10.2
1537,廣隆,1705.03,21.42,14.7,16.05,12.32
1538,正峰,55.39,9.2,-49.06,145.38,145.38
1539,巨庭,455.15,9.42,4.18,7.87,6.03
1540,喬福,99.77,15.48,3.04,25.58,20.51
1541,錩泰,1113.11,20.37,12.45,14.8,11.28
1558,伸興,1169.19,23.38,9.13,13.71,10.27
1560,中砂,1229.33,29.51,13.25,14.88,11.92
1568,倉佑,401.01,5.18,-6.52,-6.54,-5.05
1582,信錦,1720.51,24.85,12.81,13.14,7.89
1583,程泰,1045.62,16.08,-3.62,44.81,48.08
1587,吉茂,354.52,20.99,0.88,1.74,1.74
1589,永冠-KY,1130.2,11.19,-9.85,-11.33,-9.98
1590,亞德客-KY,3157.14,43.5,21.94,18.23,12.81
1592,英瑞-KY,1062.95,21.97,-12.51,-13.29,-10.87
1597,直得,290.49,44.91,17.61,18.28,15.12
1598,岱宇,1647.8,28.04,-0.07,0.26,0.31
1603,華電,656.15,9.1,3.45,2.22,1.78
1604,聲寶,1805.61,17.27,5.87,8.4,7.13
1605,華新,24084.48,6.27,1.45,0.77,0.74
1608,華榮,1710.8,-4.65,-7.21,-69.08,-69.13
1609,大亞,3957.01,6.61,0.94,6.06,4.5
1611,中電,569.96,27.57,6.86,2.95,2.92
1612,宏泰,1165.02,8.45,4.54,-2.49,-4.38
1614,三洋電,1169.96,17.42,2.7,3.72,2.9
1615,大山,556.78,10.86,4.94,4.51,3.61
1616,億泰,618.59,5.15,-3.11,-2.95,-2.95
1617,榮星,635.69,14.58,5.82,5.95,5.13
1618,合機,436.28,-0.15,-4.65,-2.13,-1.64
1626,艾美特-KY,1811.81,14.08,-4.1,-3.3,-3.04
1701,中化,2086.17,36.9,5.89,6.94,5.44
1702,南僑,3616.1,30.83,4.1,4.29,2.14
1707,葡萄王,2008.92,83.38,23.28,24.62,19.69
1708,東鹼,1057.52,19.07,5.34,3.25,2.66
1709,和益,2359.79,12.62,4.9,5.41,3.92
1710,東聯,4311.77,1.5,-3.75,-10.23,-8.85
1711,永光,2270.48,19.92,3.84,3.65,2.94
1712,興農,4686.68,25.84,6.64,1.19,0.5
1713,國化,130.6,15.23,5.48,12.78,11.85
1714,和桐,5537.74,14.35,5.47,5.34,3.67
1717,長興,7629.52,21.26,4.08,3.28,2.67
1720,生達,1034.42,43.9,14.98,17.45,13.32
1721,三晃,830.26,8.03,-1.87,-1.81,-1.45
1722,台肥,3027.62,21.69,10.53,47.28,39.18
1723,中碳,1599.18,19,14.32,14.49,11.39
1724,台硝,452.16,14.66,4.55,5.43,4.34
1725,元禎,1638.56,4.55,1.43,1.03,0.7
1726,永記,1911.5,24.52,10.74,12.62,9.6
1727,中華化,489.21,9.67,-0.29,-27.67,-27.99
1730,花仙子,668.92,47.84,11.99,16.1,13.08
1731,美吾華,265.06,63.76,20.41,18.13,13.78
1732,毛寶,158.37,46.62,11.03,10.85,8.41
1733,五鼎,511.93,20.33,2.95,3.68,2.31
1734,杏輝,625.39,39.53,2.05,2.4,-1.01
1735,日勝化,531.22,20.8,5.88,6.27,6.26
1736,喬山,5534.52,47.13,-3.72,-5.12,-4.23
1737,臺鹽,724.46,40.99,13.37,11.61,9.09
1760,寶齡富錦,340.61,50.25,4.55,4.8,0.21
1762,中化生,307.44,37.24,8.95,11.02,9.04
1773,勝一,1978.37,30.22,16.31,17.13,13.72
1776,展宇,377.69,20.5,6.75,6.41,3.72
1783,和康生,103.33,43.74,8.36,12.9,9.86
1786,科妍,109.81,72.17,36.86,37.46,33.07
1789,神隆,542.52,45.04,8.23,9.01,6.52
1795,美時,1962.53,45.89,14.89,8.09,6.71
1802,台玻,7038.61,5.66,-8.91,-12.28,-13.01
1805,寶徠,62.14,13.46,-19.44,-22.77,-22.77
1806,冠軍,685.6,4.87,-34.84,-39.35,-39.5
1808,潤隆,569.74,10.08,-13.13,-20.67,-21.18
1809,中釉,477.55,16.68,-8.66,-8.74,-8.25
1810,和成,1211.28,25.75,1.29,-0.06,-0.2
1817,凱撒衛,481.61,30.67,9.05,9.11,7.19
1903,士紙,38.96,26.29,-111.72,-122.14,-122.14
1904,正隆,9074.86,28.85,13.77,12.37,9.89
1905,華紙,4561.47,5.37,-2.99,-3.12,-3.19
1906,寶隆,379.38,10.27,0.59,-1.71,-1.71
1907,永豐餘,16192.12,19.73,5.66,5.71,4.36
1909,榮成,6980.42,15.71,5.43,1.17,2.04
2002,中鋼,77918.88,1.17,-3.05,-3.29,-2.72
2006,東和鋼鐵,9600.5,13.11,8.17,6.66,4.66
2007,燁興,1496.49,-6.47,-9.98,-12.99,-12.98
2008,高興昌,211.13,-15.27,-26.89,-31.29,-31.29
2009,第一銅,556.51,-19.44,-22.13,-37.5,-37.5
2010,春源,4148.67,6.35,1.64,1.81,1.42
2012,春雨,1936.69,15.78,5.74,1.62,0.81
2013,中鋼構,3151.88,3.61,1.38,1.54,1.27
2014,中鴻,10098.89,2.8,-1.04,-1.24,-1.24
2015,豐興,6515.19,12.65,9.67,9.81,7.85
2017,官田鋼,793.7,2.59,-8.6,-8.17,-7.81
2020,美亞,1255.21,7.58,3.64,1,-0.43
2022,聚亨,2139.33,4.07,-0.81,-4.74,-5.26
2023,燁輝,12653.19,7.08,0.23,-3.52,-3.18
2024,志聯,282.11,5.51,0.01,-0.7,-0.7
2025,千興,265.13,-27.42,-30.63,-35.77,-35.77
2027,大成鋼,16201.26,12.04,0.09,-0.39,-0.42
2028,威致,1893.42,5.13,3.69,2.77,2.83
2029,盛餘,2403.71,5.04,0.02,0.06,-0.09
2030,彰源,2341.54,6.66,-0.57,-2,-2.14
2031,新光鋼,2146.81,3.77,0.79,-5.45,-5.25
2032,新鋼,745.06,3.57,0.62,0.91,0.76
2033,佳大,190.29,11.77,1.43,1.78,1.4
2034,允強,3761.24,8.72,3.68,5.02,3.82
2038,海光,1875.97,4.09,2.1,1.34,1.01
2049,上銀,3614.07,24.66,-2.36,-4.64,-5.28
2059,川湖,1161.12,53.86,40.13,49.26,39.41
2062,橋椿,1374.41,2.51,-9.04,-10.36,-8.15
2069,運錩,1593.2,2.19,-3.33,-5.85,-5.47
2101,南港,2194.64,19.7,6.54,-4.15,-5.85
2102,泰豐,1339.05,19.05,1.72,1.28,0.13
2103,台橡,6493.85,11.72,3.11,2.59,1.46
2104,國際中橡,4465.69,14.6,1.31,2.94,-1.68
2105,正新,19550.04,18.1,0.51,-9.2,-10.15
2106,建大,6419.05,18.93,-8.66,-7.21,-8.17
2107,厚生,974.81,34.85,28.49,27.9,26.02
2108,南帝,2647.98,27.97,15.73,17.84,14.2
2109,華豐,1168.39,19.99,8.74,12.09,9.1
2114,鑫永銓,389.98,43.31,34.1,35.16,28.13
2115,六暉-KY,530.95,22.82,9.55,10.86,7.49
2201,裕隆,17572.36,28.86,3.51,4.41,3.11
2204,中華,7662.22,17.3,6.71,9.15,8.01
2206,三陽工業,8136.1,19.05,3.83,8.31,7.59
2208,台船,5498.51,-2.22,-4.32,-4.21,-4.22
2227,裕日車,7360.63,14.38,0.03,3.1,2.43
2228,劍麟,940.36,23.61,8.32,9.98,6.82
2231,為升,858.27,35.52,10.91,12.24,9.98
2233,宇隆,560.77,31.72,14.94,16.98,13.17
2236,百達-KY,294.29,18.35,-4.59,-7.1,-7.46
2239,英利-KY,3704.67,11.41,-1.38,-2.52,-1.89
2241,艾姆勒,212.87,23.25,8.86,10.96,8.77
2243,宏旭-KY,36.86,36.81,-45.92,-52.79,-55.5
2247,汎德永業,8112.17,10.38,1.59,1.48,1.15
2301,光寶科,32575.7,14.48,2.31,5.26,4.05
2302,麗正,98.91,21.34,-20.62,-15.82,-15.82
2303,聯電,42267.85,19.22,8.08,1.94,2.91
2305,全友,86.11,29.17,-41.09,-7.85,-11.65
2308,台達電,55678.34,26.48,3.56,5.09,4
2312,金寶,28203.55,5.88,-0.45,0.53,0.27
2313,華通,12089.66,18.86,10.43,9.99,7.69
2314,台揚,903.42,16.71,-1.02,-1.7,-1.89
2316,楠梓電,1093.94,4.76,-4.33,8.78,7.24
2317,鴻海,929133.12,4.5,0.49,0.63,0.23
2321,東訊,251.1,13.24,-11,-10.98,-10.98
2323,中環,2669.8,17.7,-2.93,-48.75,-48.92
2324,仁寶,182047.05,3.27,0.5,0.6,0.42
2327,國巨,10023.49,40.3,25.56,28.65,23.45
2328,廣宇,4712.87,4.26,-0.29,0.96,0.19
2329,華泰,3642.53,6.1,-0.18,0.29,0.23
2330,台積電,310597.18,51.76,41.38,42.55,37.69
2331,精英,4060.04,7.92,-6.32,-5.85,-4.74
2332,友訊,3671.53,29.44,-1.47,-0.32,-1.06
2337,旺宏,9415.16,31.28,12.39,13.03,12.98
2338,光罩,1105.87,16.6,4.44,-20.6,-23.76
2340,光磊,1164.08,29.76,11.39,13.28,10.44
2342,茂矽,396.95,15.76,2.87,-26.87,-26.87
2344,華邦電,11549,24.13,0.28,-0.53,-0.71
2345,智邦,11724.25,19.3,9.52,11.01,8.81
2347,聯強,68705.36,4.92,2.31,3.19,2.72
2348,海悅,539.72,60.63,39.38,43.1,33.41
2349,錸德,1572.28,5.68,-13.09,-15.69,-16.35
2351,順德,1939.82,13.11,3.52,3.76,3.2
2352,佳世達,39200.17,13.43,2.65,1.63,1
2353,宏碁,48854.5,10.13,0.04,1.6,1.13
2354,鴻準,11194.11,7.91,1.99,4.96,4.41
2355,敬鵬,4123.61,6.69,0.11,0.98,0.61
2356,英業達,88679.11,4.73,0.29,5.82,3.31
2357,華碩,70757.97,17.33,4.16,2.02,1.55
2358,廷鑫,293.43,12.76,4.61,1.42,1.14
2359,所羅門,682.45,23.4,-0.91,3.81,2.96
2360,致茂,3370.95,51.8,16.25,18.01,14.41
2362,藍天,3428.35,27.66,8.74,-3.92,-5.62
2363,矽統,28.77,34.92,-321.97,-351.35,-425.18
2364,倫飛,174.95,28.6,-8.71,-6.62,-6.62
2365,昆盈,335.06,30.97,3.11,5.89,5.05
2367,燿華,3632.06,13.87,0.55,0.73,0.38
2368,金像電,5046.45,20.49,9.93,10.33,7.91
2369,菱生,1281.74,3.54,-5.38,-4.5,-4.53
2371,大同,9083.91,27,4.57,-0.81,-0.94
2373,震旦行,2414.44,46.48,3.39,7.73,6.52
2374,佳能,735.75,9.9,-28.78,-25.93,-26.68
2375,凱美,882.94,25.02,8.07,15.13,12.89
2376,技嘉,17233.15,16.2,3.92,5.42,3.91
2377,微星,28503.54,13.45,5.45,5.33,4.39
2379,瑞昱,15928.03,42.22,9.1,10.9,10.24
2380,虹光,292.51,10.25,-51.67,-63.45,-63.45
2382,廣達,190297.9,4.85,1.3,1.93,1.42
2383,台光電,5909.01,24.21,16.1,16.14,12.4
2385,群光,18110.22,15.54,7.1,0.68,0.44
2387,精元,2743.12,7.86,-1.89,-0.83,-3
2388,威盛,1517.32,35.82,-4,2.81,2.05
2390,云辰,133.28,16.89,-24.06,60.38,59.49
2392,正崴,16011.28,8.76,-1,-0.05,-0.27
2393,億光,4532.18,22.23,0.53,2,1.22
2395,研華,11272.19,38.99,14.67,14.38,11.36
2397,友通,2176.32,27.4,9.31,9.06,7.04
2399,映泰,415.88,11.35,-3.32,-5.76,-5.84
2401,凌陽,1034.18,46.44,-4.66,-8.88,-10.23
2402,毅嘉,1128.26,9.71,0.55,1.22,0.75
2404,漢唐,6846.68,18.64,14.28,13.99,11.13
2405,浩鑫,484.89,36.65,-4.68,-7.58,-8.5
2406,國碩,2097.66,12.06,-17.57,-27.47,-29.65
2408,南亞科,14418.87,23.83,12.71,16.12,13.37
2409,友達,53690.18,-0.66,-10.14,-10.53,-10.76
2412,中華電,48150,36.88,21.87,22.12,17.75
2413,環科,772.82,12.45,-5.65,-5.84,-4.62
2414,精技,4929.52,8.72,2.33,2.36,1.91
2415,錩新,520.22,25.24,8.77,6.1,4.65
2417,圓剛,663.18,52.6,0.18,1.56,1.55
2419,仲琦,1450.98,27.45,2.65,0.86,-1
2420,新巨,552.65,36.74,16.1,21.05,17.17
2421,建準,2247.97,21.39,3.79,5.51,4.3
2423,固緯,537.36,52.17,12.27,14.96,11.54
2424,隴華,5.51,-476.42,-687.82,-722.31,-722.31
2425,承啟,503.5,6.22,-1.19,-0.44,-0.46
2426,鼎元,491.64,13.12,-3.62,-47.32,-47.32
2427,三商電,549.78,36.25,0.17,1.4,0.95
2428,興勤,1095.74,38.73,22.07,24.43,17.96
2429,銘旺科,179.76,10.5,-6.13,-6.24,-6.24
2430,燦坤,4520.53,16.62,2.85,2.66,2.12
2431,聯昌,619.11,11.79,1.73,2.82,2.68
2433,互盛電,979.28,31.95,13.08,13.17,10.4
2434,統懋,31.66,-38.44,-107.16,-60.28,-64.3
2436,偉詮電,474.83,24.84,2.52,-27.1,-27.47
2438,翔耀,111.29,14.4,0,1.23,-0.08
2439,美律,5176.66,10.75,-0.87,0.82,0.78
2440,太空梭,508.41,0.34,-5.8,-8.32,-8.46
2441,超豐,3272.7,23.53,20.06,20.9,16.63
2442,新美齊,852.5,11.88,-8.76,-22.09,-18.73
2443,億麗,166.75,-6.36,-34.51,-39.9,-39.9
2444,兆勁,394.2,11.28,0.05,0.18,0.18
2449,京元電子,7001.15,29.03,18.12,16.65,12.78
2450,神腦,6728.14,11.23,0.88,1.57,1.34
2451,創見,3220.41,25.57,12.96,18.01,14.41
2453,凌群,1035.48,24.29,2.64,3.31,2.17
2454,聯發科,60862.98,43.11,9.53,11.06,9.54
2455,全新,649.64,40.99,25.62,27.19,21.71
2456,奇力新,3620.88,25.19,8.4,9.11,7.26
2457,飛宏,1599.15,11.5,-11.16,-9.2,-10.1
2458,義隆,2206.24,47.27,23.29,3.13,1.98
2459,敦吉,1369.52,18.78,8.54,8.11,6.18
2460,建通,489.1,-9.87,-24.92,-27.61,-18.53
2461,光群雷,1160.38,20.63,0.56,0.32,-0.47
2462,良得電,700.46,6.65,-4.25,-4.53,-4.61
2464,盟立,2097.42,19.62,5.73,7.85,6.69
2465,麗臺,775.21,12.31,-0.85,-0.76,-1.54
2466,冠西電,148.98,16.58,-19.68,-33.26,-22.62
2467,志聖,765.27,50.48,11.28,13.28,12.18
2468,華經,537.47,10.93,2.45,3.25,2.66
2471,資通,187.8,30.82,-0.28,3.1,2.81
2472,立隆電,1567.65,25.59,12.47,13.31,10.74
2474,可成,17616.37,24.36,16.09,30.53,22.3
2476,鉅祥,1035.85,25.35,6.7,-1.27,-2.77
2477,美隆電,544.36,23.5,1.36,1.41,-1.42
2478,大毅,1099.12,23.39,16.06,18.28,21.2
2480,敦陽科,1307.76,25.45,11.91,12.74,9.95
2481,強茂,2138.47,19.81,5.23,6.12,4.55
2482,連宇,253.53,46.37,9.24,9.15,6.33
2483,百容,386.8,20.3,-0.61,18.85,17.51
2484,希華,528.06,21.62,6.72,8.88,7.09
2485,兆赫,1454.75,2.22,-6.97,0.61,0.42
2486,一詮,823.7,6.98,-8.27,-10.94,-9.51
2488,漢平,194.71,21,-5.08,-10.64,-12.18
2489,瑞軒,2974.84,7.9,-7.27,-11.8,-10.84
2491,吉祥全,49.88,18.62,-18.96,10.63,9.71
2492,華新科,6382.45,26.27,15.76,14.83,11.1
2493,揚博,608.07,29.3,17.68,22.78,19.09
2495,普安,242.01,38.46,-14.87,-103.62,-103.62
2496,卓越,199.93,44.47,8.62,8.5,7.17
2497,怡利電,408.57,16.65,-12.24,-6.42,-6.59
2498,宏達電,1329.75,26.25,-139.25,-127.59,-127.38
2501,國建,841.42,22.37,-19.67,-24.25,-21.36
2504,國產,3935.25,11.68,7.44,7.45,7.14
2505,國揚,225.01,23.6,-7.02,-13.49,-13.61
2506,太設,151.21,51.25,-13.49,-40.27,-44.01
2509,全坤建,313.18,39.87,23.92,13.34,12.91
2511,太子,2632.35,18.17,1.39,-1.55,-1.59
2514,龍邦,1609.87,6.08,1.34,-2.69,-3.3
2515,中工,2862.87,8.17,3.38,0.56,0.04
2516,新建,996.25,1.32,-2.7,0.82,0.82
2520,冠德,3897.27,25.78,14.45,11.84,9.47
2524,京城,1719.82,38.78,30.55,25.93,24.04
2527,宏璟,630.73,35.07,11.8,7.94,7.63
2528,皇普,0.06,-36.51,-109288.89,-108925.4,-108925.4
2530,華建,2.22,100,-483.54,-1095.62,-1095.62
2534,宏盛,684.19,55.25,36.16,34.26,34.48
2535,達欣工,2323.58,14.31,9.35,7.51,5.7
2536,宏普,1040.91,23.21,17.87,20.15,17.29
2537,聯上發,317.91,20.91,11.35,11.56,11.29
2538,基泰,99.67,34.03,0.67,12.53,10.37
2539,櫻花建,704.24,29.12,16.09,15.69,14.26
2540,愛山林,806.72,46.44,29.98,25.4,17.44
2542,興富發,2073.48,28.04,5.05,-2.65,-4.16
2543,皇昌,1239.25,-1.08,1.22,0.4,0.4
2545,皇翔,1049.4,40.98,26.75,12.98,12.68
2546,根基,2772.2,6.75,4.49,4.05,3.12
2547,日勝生,1412.34,43.21,6.74,4.12,-1.05
2548,華固,1019.45,23.98,11.51,16.91,15.12
2597,潤弘,2723.92,9.94,3.13,3.17,2.22
2601,益航,1214.81,57.04,3.74,-21.48,-23.54
2603,長榮,43475.26,6.79,1.14,-1.42,-1.69
2605,新興,1190.98,12.72,8.83,4.24,4.42
2606,裕民,1902.47,1.79,-3.36,-20.22,-20.35
2607,榮運,1788.8,14.42,11.12,10.87,8.99
2608,嘉里大榮,2963.63,20.81,13.96,13.34,10.64
2609,陽明,34642.18,4.75,0.67,-1.84,-2.18
2610,華航,32557.13,0.68,-9.13,-11.69,-11.7
2611,志信,159.61,7.59,-19.81,-33.45,-31.43
2612,中航,812.41,18.01,6.61,1.32,0.33
2613,中櫃,661.59,7.83,2.75,-2.53,-2.53
2614,東森,1065.05,31.27,-1.46,-0.09,4.13
2615,萬海,18007.34,9.28,3.39,0.54,0.52
2616,山隆,4193.36,9.61,1.77,1.98,1.56
2617,台航,629.95,20.75,15.66,28.66,25.98
2618,長榮航,30233.1,8.8,-1.47,-4.29,-3.62
2630,亞航,811.14,6.2,-2.13,-3.29,-2.67
2633,台灣高鐵,9600.28,34.24,31.42,11.32,11.77
2634,漢翔,5616.78,4.95,0.13,1.52,0.95
2636,台驊投控,2536.42,16.53,1.62,1.37,0.85
2637,慧洋-KY,2791.16,9.48,8.1,-4.4,-4.53
2642,宅配通,967.25,18.05,7.12,6.98,5.64
2701,萬企,75.29,70.82,61.55,72.79,58.25
2702,華園,277.92,79.28,-4.87,-15.35,-1.97
2704,國賓,550.97,38.95,6.47,-5.01,-4.38
2705,六福,325.37,5.9,-44.46,-56.13,-56.13
2706,第一店,75.23,75.27,65.32,80.88,64.84
2707,晶華,1360.8,26.68,12.54,13.97,11.59
2712,遠雄來,95.11,28.1,-0.35,0.02,-0.01
2722,夏都,145.95,28.51,-9.63,-10.05,-10.43
2723,美食-KY,4701.86,59.32,3.24,1.74,1.14
2727,王品,2963.16,40.61,-8.72,-10.9,-9.8
2731,雄獅,4449.62,15.28,-0.38,1.35,0.92
2739,寒舍,728.05,20.63,-23.73,-32.12,-26.68
2748,雲品,499.31,23.72,4.25,2.12,1.48
2816,旺旺保,1739.05,23.91,-4.9,-3.91,-3.91
2823,中壽,70861.46,9.63,7.42,7.42,6.29
2832,台產,1273.59,36.82,12.92,12.86,10.23
2841,台開,89.58,59.68,-155.21,-224.65,-207.63
2850,新產,3652.04,29.03,7.77,7.81,5.72
2851,中再保,4330.55,14.93,12.61,12.61,10.21
2852,第一保,1168.83,15.73,-12.75,-12.71,-14.75
2867,三商壽,34303.31,5.36,2.08,2.25,1.88
2901,欣欣,28.33,87.71,14.04,21.4,17.09
2903,遠百,8634.17,49.01,7.53,3.46,1.19
2904,匯僑,117.19,41.93,28.57,29.05,23.64
2906,高林,1535.59,25.51,1.61,1.88,0.75
2908,特力,9215.83,26.8,2.29,1.76,1.38
2910,統領,124.56,70.89,33.55,5.52,-6.7
2911,麗嬰房,919.73,43.93,-12.23,-11.3,-11.73
2912,統一超,63049.75,34.61,5.06,5.71,4.58
2913,農林,67.11,44.14,-56.71,-57.18,-50.22
2915,潤泰全,697.85,29.05,-3.36,437.79,431.83
2923,鼎固-KY,1159.88,54.28,46.78,-17.58,-36.54
2929,淘帝-KY,864.95,26.63,-10.05,-5.83,-5.08
