公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,21976.2,26.3,20.3,21.54,15.84
1102,亞泥,13138.88,20.53,15.39,11.94,8.6
1103,嘉泥,495.33,-3.93,-32.08,-41.53,-43.24
1104,環泥,1253.76,13.44,5.38,4.03,3.84
1108,幸福,1104.72,16.55,9.97,9.44,8.47
1109,信大,1165.58,27.72,18.64,16.15,11.77
1110,東泥,387.94,2.28,-3.25,-7.77,-7.98
1201,味全,3974.42,28.07,1.13,0.09,0.65
1203,味王,1583.09,34.39,17.74,18.52,13.44
1210,大成,18331.79,14.78,4.5,4.94,4.04
1213,大飲,80.07,-2.53,-17.18,-19.62,-15.78
1215,卜蜂,5241.19,11.79,4.26,5.51,4.37
1216,統一,108290.64,34.28,6.65,8.22,6.13
1217,愛之味,1152.42,32.19,6.66,2.89,2.32
1218,泰山,1838.11,18.1,4.12,7.72,6.89
1219,福壽,2988.62,9.17,0.17,9.41,8.3
1220,台榮,601.39,16.61,7.15,4.51,3.03
1225,福懋油,2521.29,9.51,3.92,4.28,3.45
1227,佳格,6671.43,28.41,11.08,11.5,9.11
1229,聯華,2047.54,17.49,5.57,12.4,10.76
1231,聯華食,2098.05,20.49,6.3,6.01,4.66
1232,大統益,4073.68,12.85,8.04,8.38,6.7
1233,天仁,484.09,56.92,1.7,1.82,1.5
1234,黑松,1949.28,22.32,1.42,6.71,5.57
1235,興泰,4.2,-17.27,-97.97,-382.56,-381.73
1236,宏亞,437.39,29.07,2.36,2.98,3.18
1256,鮮活果汁-KY,366.06,34.42,6.53,7.93,3.15
1301,台塑,42019.18,12.62,5.93,0.31,-0.94
1303,南亞,65557.51,11.47,4.35,3.14,1.8
1304,台聚,11356.41,16.2,8.73,7.82,5.69
1305,華夏,3591.21,20.06,11.78,12.4,9.71
1307,三芳,2657.27,23.05,6.33,6.23,3.89
1308,亞聚,1314.01,17.96,13.8,13.74,11.14
1309,台達化,2958.09,10.65,5.31,6.31,4.89
1310,台苯,1699.86,-17.68,-20.49,-21.66,-18.28
1312,國喬,3605.97,3.7,-3.99,2.06,1.21
1313,聯成,8905.52,-6.51,-11.81,-12.63,-9.47
1314,中石化,5301.08,4.65,-3.55,0.07,0.03
1315,達新,521.64,16.91,0.25,2.27,1.66
1316,上曜,155.58,31.54,-14.39,-38.83,-4.5
1319,東陽,4795.96,25.9,8.89,8.03,6.76
1321,大洋,1082.57,5.01,-2.51,-3.59,27.92
1323,永裕,767.34,26.37,14.15,14.77,10.86
1324,地球,282.8,17.15,1.24,3.27,2.97
1325,恆大,428.1,43.1,37.61,38.49,31.58
1326,台化,64444.05,2.63,-2.98,-6.36,-6.74
1337,再生-KY,184.37,-22.77,-73.97,-64.44,-64.44
1338,廣華-KY,1062.73,20.67,-4.51,-0.03,-0.82
1339,昭輝,500.11,31.55,17.43,17.52,13.27
1340,勝悅-KY,94.37,-70.55,-99.25,-92.75,-93.96
1341,富林-KY,711.82,22.24,13.77,12.3,9.81
1342,八貫,384.88,26.31,17.64,19.26,15.36
1402,遠東新,52236.31,18.19,3.32,7.45,5.52
1410,南染,97.26,35.72,17.81,21.18,17.27
1413,宏洲,458.23,-4.39,-8.81,-8.49,-8.49
1414,東和,210.1,-0.82,-9.29,-10.66,-10.27
1416,廣豐,49.96,87.54,-48.76,-70.13,-64.36
1417,嘉裕,282.22,26.46,-24.08,-20.75,-21.81
1418,東華,34.05,-98.49,-147.52,-174.25,-174.6
1419,新紡,566.61,24.8,4.55,3.25,2.47
1423,利華,57.33,-84.18,-96.77,-88.6,-79.83
1432,大魯閣,324.39,89.29,5.01,-6.75,-7.1
1434,福懋,8588.94,11.83,4.33,5.22,4.12
1435,中福,3.73,93.13,-149.18,-339.62,-339.62
1436,華友聯,390.91,28,17.11,11.51,9.64
1437,勤益控,176.3,81,72.07,30.98,19.36
1438,三地開發,84.58,63,55.16,56.04,56.04
1439,中和,49.73,-0.26,-16.9,-0.95,-15.5
1440,南紡,5037.88,9.76,0.43,1.98,1.9
1441,大東,480.99,-8.08,-18.68,-25.39,-24.19
1442,名軒,101.96,21.86,-4.58,-8.2,-12
1443,立益,147.3,21.71,10.09,-1.26,-3.37
1444,力麗,2443.69,4.09,-2.48,-15.48,-15.93
1445,大宇,317.54,9.42,-1.32,-0.81,-0.57
1446,宏和,126.61,21.29,-3.78,2.41,0.84
1447,力鵬,2890.56,-2.56,-8.14,-5.88,-4.85
