,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
069600 景碩國票03購01,"104,490","731,000",11,0.14,0.1,0.11,0.18,2月22日,0.04,2月19日,
069602 玉晶光國票04購02,"7,800","260,000",1,0.03,0.03,0.03,0.03,2月2日,0.03,2月2日,
069603 京鼎國票03購01,"42,300","40,000",4,1.06,1.06,1.43,1.43,2月24日,0.65,2月2日,
069604 創意國票03購01,"3,651,060","1,227,000",93,2.98,3.22,2.98,8.3,2月25日,1.47,2月1日,
069605 敦泰國票03購01,"1,081,700","161,000",51,6.72,6.67,7.6,9.75,2月23日,4.65,2月2日,
069608 彩晶國票03購01,"196,300","60,000",6,3.27,3.33,3.86,3.86,2月25日,2.72,2月18日,
069609 GIS國票03購01,600,"30,000",1,0.02,0.02,0.02,0.02,2月3日,0.02,2月3日,
069610 緯穎國票03購02,"26,120","618,000",7,0.04,0.05,0.02,0.06,2月17日,0.02,2月19日,
069612 聯電統一04購03,"1,201,680","337,000",32,3.57,3.65,3.79,4.24,2月18日,2.92,2月1日,
069614 鴻海統一03購07,"8,900","2,000",2,4.45,4.45,4.44,4.46,2月4日,4.44,2月17日,
069615 國巨統一03購07,"261,810","52,000",31,5.03,5.32,5.9,5.9,2月22日,4.77,2月2日,
069617 台積電統一03購18,"47,400","10,000",1,4.74,4.74,4.74,4.74,2月4日,4.74,2月4日,
069618 瑞昱統一04購02,"1,241,010","2,041,000",116,0.61,0.55,0.43,0.73,2月17日,0.42,2月24日,
069619 聯發科統一03購14,"106,740","45,000",7,2.37,2.46,2.42,2.53,2月23日,2.33,2月2日,
069622 創意統一03購02,"579,810","393,000",31,1.48,1.76,2.6,2.6,2月24日,1.28,2月17日,
069623 臻鼎統一04購01,"10,430","258,000",6,0.04,0.04,0.05,0.05,2月25日,0.04,2月23日,
069625 彩晶統一03購03,"198,400","50,000",2,3.97,3.96,4,4,2月24日,3.92,2月22日,
069626 儒鴻元富05購01,"4,441,670","4,431,000",81,1,0.96,1.09,1.2,2月24日,0.81,2月1日,
069629 台達電元富08購02,"108,240","51,000",8,2.12,2.09,1.78,2.49,2月17日,1.78,2月26日,
069630 宏碁元富08購01,"2,295,100","865,000",70,2.65,2.64,2.68,3.01,2月25日,2.38,2月2日,
069631 金像電元富08購02,"794,570","543,000",26,1.46,1.49,1.52,1.7,2月23日,1.29,2月17日,
069633 聯詠元富08購01,"1,429,770","722,000",69,1.98,2.51,2.8,3.24,2月18日,1.55,2月1日,
069634 欣興元富08購02,"4,646,230","4,458,000",256,1.04,1.09,1.27,1.46,2月24日,0.75,2月4日,
069635 玉晶光元富08購01,"332,200","585,000",22,0.57,0.55,0.51,0.67,2月3日,0.46,2月17日,
069636 嘉澤元富08購01,"1,777,290","1,676,000",79,1.06,1.04,0.94,1.33,2月18日,0.91,2月26日,
069637 矽創元富08購01,"3,086,570","3,569,000",61,0.86,0.82,1.12,1.12,2月26日,0.65,2月1日,
069638 百和元富03購01,"783,750","1,169,000",60,0.67,0.66,0.54,0.87,2月19日,0.47,2月2日,
069639 金像電台新02購01,"3,950","10,000",2,0.4,0.4,0.39,0.4,2月1日,0.39,2月2日,
069640 臺指反中信04購01,"13,600","530,000",52,0.03,0.04,0.03,0.08,2月1日,0.02,2月26日,
069642 臺股指中信04購05,"4,358,100","1,370,000",91,3.18,2.94,2.46,3.93,2月22日,1.58,2月1日,
069643 新光金日盛02購01,200,"10,000",10,0.02,0.02,0.02,0.02,2月4日,0.02,2月4日,
069644 華碩康和02購01,330,"14,000",3,0.02,0.02,0.02,0.03,2月2日,0.02,2月3日,
069645 智易康和02購01,"3,300","30,000",3,0.11,0.12,0.12,0.12,2月3日,0.1,2月3日,
069647 世紀鋼康和04購01,"456,120","1,085,000",24,0.42,0.41,0.48,0.52,2月22日,0.24,2月4日,
069648 高股息凱基04購01,"134,800","193,000",35,0.7,0.66,0.8,0.88,2月24日,0.45,2月1日,
069652 京元電凱基02購02,300,"30,000",1,0.01,0.01,0.01,0.01,2月3日,0.01,2月3日,
069655 欣興凱基03購04,"35,810","277,000",16,0.13,0.16,0.24,0.24,2月23日,0.09,2月5日,
069656 彩晶凱基03購01,"107,500","30,000",3,3.58,3.58,4.06,4.06,2月24日,2.79,2月1日,
069659 百和凱基03購01,"1,300","5,000",1,0.26,0.26,0.26,0.26,2月2日,0.26,2月2日,
069660 世紀鋼凱基03購03,"154,950","611,000",18,0.25,0.23,0.38,0.38,2月26日,0.14,2月5日,
069663 華新科兆豐04購01,"1,414,340","834,000",57,1.7,1.82,1.61,2.62,2月23日,0.94,2月1日,
069664 訊芯兆豐03購01,"103,500","350,000",3,0.3,0.3,0.27,0.33,2月17日,0.27,2月26日,
069667 A50正2元大03購02,"6,300","1,000",1,6.3,6.3,6.3,6.3,2月17日,6.3,2月17日,
069669 台船元大02購01,260,"6,000",4,0.04,0.04,0.03,0.05,2月1日,0.03,2月3日,
069674 台積電元大04購01,"4,182,270","1,104,000",157,3.79,4.28,3.04,5.65,2月17日,2.76,2月1日,
069676 華碩元大02購03,"134,200","708,000",9,0.19,0.26,0.17,0.31,2月3日,0.17,2月4日,
069677 金像電元大02購09,"28,300","54,000",3,0.52,0.55,0.53,0.58,2月1日,0.52,2月4日,
069678 金像電元大03購01,"334,320","256,000",38,1.31,1.19,1.31,1.46,2月19日,1.04,2月3日,
069681 京元電元大02購03,"10,150","145,000",1,0.07,0.07,0.07,0.07,2月1日,0.07,2月1日,
069686 景碩元大02購04,90,"9,000",2,0.01,0.01,0.01,0.01,2月3日,0.01,2月3日,
069691 台積電統一04購10,"23,673,730","12,868,000","1,299",1.84,1.89,1.52,2.31,2月17日,1.24,2月1日,
069693 欣興統一02購04,"56,240","583,000",9,0.1,0.15,0.07,0.23,2月2日,0.07,2月4日,
069694 鴻海元富08購03,"133,000","12,000",2,11.08,11.25,11.5,11.5,2月24日,11,2月22日,
069697 台積電元富08購17,"58,000","10,000",1,5.8,5.8,5.8,5.8,2月1日,5.8,2月1日,
069700 TPK元富03購02,"5,500","120,000",4,0.05,0.05,0.05,0.05,2月26日,0.04,2月26日,
069701 致新元富08購01,"204,060","129,000",14,1.58,1.56,1.78,2.03,2月24日,1.1,2月2日,
069702 道瓊銀國票02購02,"70,970","569,000",8,0.12,0.17,0.02,0.32,2月1日,0.02,2月3日,
069703 中石化國票04購01,"592,630","1,733,000",161,0.34,0.42,0.51,0.68,2月24日,0.16,2月1日,
069704 泰豐國票03購01,300,"30,000",1,0.01,0.01,0.01,0.01,2月5日,0.01,2月5日,
069705 國巨國票04購02,"293,850","25,000",9,11.75,11.49,11.4,12.5,2月23日,9.95,2月2日,
069706 旺宏國票03購01,"444,580","149,000",13,2.98,4.58,5.75,5.95,2月22日,2.77,2月5日,
069707 微星國票03購02,90,"3,000",1,0.03,0.03,0.03,0.03,2月2日,0.03,2月2日,
069710 奇力新國票02購01,"4,100","410,000",3,0.01,0.01,0.01,0.01,2月2日,0.01,2月2日,
069713 欣興國票03購05,"464,490","1,841,000",45,0.25,0.2,0.16,0.44,2月24日,0.08,2月5日,
069714 和鑫國票03購01,"322,400","640,000",29,0.5,0.52,0.67,0.67,2月25日,0.33,2月1日,
069718 鴻海群益02購06,"265,650","46,000",6,5.78,5.9,4.71,7.1,2月2日,4.71,2月4日,
069721 宏碁群益04購01,"3,122,840","4,118,000",137,0.76,0.77,0.73,1.01,2月25日,0.61,2月2日,
069722 京元電群益02購01,880,"11,000",1,0.08,0.08,0.08,0.08,2月1日,0.08,2月1日,
069723 華新科群益03購01,"1,226,440","898,000",90,1.37,1.99,1.83,4.21,2月23日,0.56,2月1日,
069728 訊芯群益04購01,"1,174,760","937,000",41,1.25,1.24,1.17,1.47,2月24日,0.95,2月17日,
069729 惠特群益03購01,"347,500","590,000",11,0.59,0.62,0.73,0.73,2月22日,0.56,2月5日,
069731 鴻海麥證02購03,"13,670","3,000",3,4.56,4.62,4.57,4.68,2月2日,4.42,2月2日,
069734 創意麥證02購01,"1,400","1,000",1,1.4,1.4,1.4,1.4,2月3日,1.4,2月3日,
069736 深中小國泰03購01,"754,430","460,000",28,1.64,1.5,1.57,2.2,2月17日,1.13,2月5日,
069740 智邦永豐02購02,"1,920","1,000",1,1.92,1.92,1.92,1.92,2月2日,1.92,2月2日,
069746 景碩永豐02購02,"1,010","101,000",1,0.01,0.01,0.01,0.01,2月2日,0.01,2月2日,
069749 啟碁永豐02購01,"102,780","356,000",9,0.29,0.29,0.29,0.29,2月4日,0.25,2月4日,
069751 華碩中信03購01,"266,350","219,000",18,1.22,1.07,1.3,1.46,2月25日,0.9,2月1日,
069752 欣興中信02購04,"3,440","211,000",4,0.02,0.03,0.02,0.04,2月3日,0.01,2月4日,
069753 欣興中信03購01,"390,680","5,394,000",63,0.07,0.06,0.04,0.13,2月24日,0.03,2月5日,
069754 儒鴻兆豐03購02,"46,100","120,000",3,0.38,0.35,0.4,0.4,2月23日,0.29,2月17日,
069756 國巨兆豐03購04,"121,790","32,000",16,3.81,4.18,4.54,4.94,2月23日,3.39,2月1日,
069757 台積電兆豐04購01,"492,000","143,000",6,3.44,3.22,2.93,3.62,2月18日,2.93,2月26日,
069758 智邦兆豐03購02,"7,850","5,000",1,1.57,1.57,1.57,1.57,2月2日,1.57,2月2日,
069760 亞光兆豐03購01,"2,288,710","2,482,000",175,0.92,0.98,1.4,2.02,2月22日,0.32,2月1日,
069761 欣興兆豐03購05,"122,460","266,000",19,0.46,0.48,0.46,0.59,2月23日,0.38,2月22日,
069762 啟碁兆豐03購01,"398,870","811,000",35,0.49,0.5,0.33,0.56,2月19日,0.32,2月26日,
069769 金像電元大02購10,"1,800","15,000",1,0.12,0.12,0.12,0.12,2月4日,0.12,2月4日,
069772 中工元大04購01,"641,140","1,136,000",23,0.56,0.57,0.69,0.71,2月23日,0.49,2月5日,
069773 奇鋐元大03購01,"16,900","10,000",2,1.69,1.69,1.6,1.78,2月2日,1.6,2月17日,
069775 欣興元大03購04,"39,940","205,000",3,0.19,0.26,0.19,0.32,2月2日,0.19,2月5日,
069776 創意元大02購04,"12,870","9,000",3,1.43,1.44,1.67,1.67,2月2日,1.22,2月1日,
069780 樺漢元大02購01,"57,700","90,000",2,0.64,0.63,0.63,0.65,2月3日,0.63,2月3日,
069782 百和元大02購01,"13,400","60,000",2,0.22,0.23,0.24,0.24,2月4日,0.22,2月2日,
069784 群創麥證02購01,"142,000","40,000",2,3.55,3.6,3.6,3.6,2月1日,3.5,2月1日,
069785 鴻海康和04購01,"191,810","51,000",8,3.76,3.83,3.32,4.26,2月2日,3.32,2月17日,
069786 國產康和04購01,"86,610","185,000",6,0.47,0.51,0.59,0.65,2月25日,0.39,2月2日,
069790 台積電凱基04購02,"6,750","1,000",1,6.75,6.75,6.75,6.75,2月26日,6.75,2月26日,
069794 微星凱基04購01,"1,284,870","2,089,000",79,0.62,0.55,0.58,1.07,2月23日,0.29,2月2日,
069796 精元凱基03購01,"9,050","65,000",3,0.14,0.15,0.12,0.17,2月18日,0.12,2月24日,
069797 奇鋐凱基04購01,"1,755,160","1,502,000",55,1.17,1.11,1.14,1.25,2月19日,1.01,2月4日,
069799 玉晶光凱基03購09,"2,700","90,000",1,0.03,0.03,0.03,0.03,2月4日,0.03,2月4日,
069800 嘉澤凱基02購02,"6,180","4,000",3,1.54,1.48,1.61,1.61,2月4日,1.35,2月1日,
069801 健策凱基03購02,"74,450","461,000",5,0.16,0.17,0.25,0.25,2月18日,0.11,2月5日,
069802 同欣電凱基02購01,40,"2,000",1,0.02,0.02,0.02,0.02,2月3日,0.02,2月3日,
069804 南電凱基02購06,"28,030","10,000",10,2.8,2.76,2.78,3.31,2月3日,2.3,2月1日,
069805 道瓊銀國票04購01,"552,460","441,000",15,1.25,1.22,1.19,1.56,2月2日,0.97,2月5日,
069806 亞德客國票03購01,"183,000","40,000",4,4.58,4.58,4.38,4.73,2月22日,4.38,2月23日,
069807 金像電國票03購02,"83,050","280,000",7,0.3,0.29,0.21,0.35,2月2日,0.21,2月25日,
069808 精元國票04購01,"137,460","194,000",4,0.71,0.69,0.66,0.8,2月23日,0.57,2月5日,
069810 京元電國票03購02,"57,350","1,084,000",34,0.05,0.1,0.03,0.35,2月2日,0.03,2月24日,
069811 國產國票03購02,"11,780","57,000",4,0.21,0.15,0.22,0.22,2月23日,0.1,2月3日,
069812 新光金國票04購01,"27,000","300,000",1,0.09,0.09,0.09,0.09,2月17日,0.09,2月17日,
069813 聯詠國票03購02,"222,490","51,000",6,4.36,3.76,4.91,4.91,2月5日,3.23,2月3日,
069814 聯詠國票03購03,"34,840","7,000",3,4.98,4.82,5,5.05,2月4日,4.64,2月3日,
069815 欣興國票03購06,"80,750","665,000",13,0.12,0.1,0.07,0.24,2月24日,0.07,2月26日,
069816 京鼎國票03購02,"6,658,640","13,383,000",129,0.5,0.39,0.2,0.76,2月24日,0.15,2月1日,
069817 智伸科國票03購01,"8,600","235,000",4,0.04,0.05,0.02,0.08,2月17日,0.02,2月23日,
069818 正文國票03購02,"1,100","20,000",2,0.06,0.06,0.03,0.08,2月23日,0.03,2月25日,
069819 松翰國票03購02,"1,157,710","1,035,000",50,1.12,1.2,3.18,3.18,2月22日,0.35,2月1日,
069820 啟碁國票03購01,"5,220","73,000",7,0.07,0.09,0.06,0.11,2月19日,0.06,2月25日,
069821 GIS國票03購02,"2,800","280,000",2,0.01,0.01,0.01,0.01,2月19日,0.01,2月19日,
069823 欣興統一03購01,"1,641,030","5,549,000",28,0.3,0.23,0.26,0.36,2月24日,0.13,2月4日,
069824 百和統一04購01,"383,140","939,000",17,0.41,0.4,0.43,0.47,2月19日,0.31,2月1日,
069825 滬深2X元富08購01,"5,739,630","1,789,000",153,3.21,3.75,2.76,5.8,2月18日,2.66,2月1日,
069828 裕隆元富08購01,"3,418,100","2,582,000",97,1.32,1.26,1.23,1.48,2月23日,1.1,2月5日,
069829 奇力新元富08購01,"151,440","200,000",15,0.76,0.79,0.92,0.92,2月26日,0.6,2月1日,
069830 華新科元富02購01,"37,900","25,000",3,1.52,1.49,1.46,1.54,2月4日,1.46,2月4日,
069832 華新科元富04購01,"157,410","67,000",17,2.35,2.25,3.27,3.27,2月23日,1.45,2月2日,
069834 欣興元富08購03,"12,546,070","12,526,000",239,1,0.81,0.93,1.11,2月24日,0.56,2月4日,
069836 聯華群益04購01,"307,800","685,000",14,0.45,0.44,0.43,0.48,2月18日,0.4,2月5日,
069839 裕隆群益02購01,180,"6,000",1,0.03,0.03,0.03,0.03,2月1日,0.03,2月1日,
069840 金像電群益03購01,"813,020","1,208,000",40,0.67,0.62,0.42,0.94,2月19日,0.42,2月26日,
069841 大毅群益02購04,70,"7,000",1,0.01,0.01,0.01,0.01,2月2日,0.01,2月2日,
069847 南電群益03購03,"96,000","16,000",1,6,6,6,6,2月1日,6,2月1日,
069849 大立光國泰06購01,"1,537,090","5,009,000",179,0.31,0.31,0.3,0.5,2月25日,0.17,2月1日,
069853 光磊永豐02購02,"3,000","300,000",1,0.01,0.01,0.01,0.01,2月4日,0.01,2月4日,
069856 聯發科永豐02購04,"17,760","5,000",5,3.55,3.55,3.74,3.74,2月4日,3.07,2月1日,
069859 敦泰永豐02購01,"424,500","163,000",30,2.6,2.58,2.47,3.47,2月3日,1.96,2月1日,
069860 精成科永豐02購02,"28,330","119,000",7,0.24,0.23,0.17,0.28,2月1日,0.17,2月4日,
069862 南茂永豐02購01,"16,650","100,000",5,0.17,0.19,0.19,0.19,2月2日,0.14,2月2日,
069864 南電中信03購01,"100,080","56,000",12,1.79,1.4,2.03,2.03,2月18日,0.88,2月1日,
069865 台泥群益03購01,"42,600","260,000",8,0.16,0.19,0.15,0.22,2月23日,0.15,2月26日,
069867 國巨群益03購01,"7,760","2,000",1,3.88,3.88,3.88,3.88,2月26日,3.88,2月26日,
069868 台積電群益03購03,"999,700","74,000",13,13.51,13.95,17,17.1,2月17日,11.8,2月1日,
069869 臺股指群益02購09,"12,700","1,000",1,12.7,12.7,12.7,12.7,2月3日,12.7,2月3日,
069872 滬深2X兆豐03購02,"268,500","100,000",9,2.68,2.76,2.92,2.92,2月5日,2.6,2月1日,
069874 英業達兆豐03購01,"1,338,010","3,462,000",53,0.39,0.36,0.44,0.55,2月24日,0.22,2月19日,
069875 創意兆豐03購01,"80,400","40,000",1,2.01,2.01,2.01,2.01,2月5日,2.01,2月5日,
069876 健策兆豐03購01,"75,660","460,000",32,0.16,0.16,0.12,0.25,2月22日,0.11,2月5日,
069877 美利達兆豐04購01,"1,648,370","2,100,000",93,0.78,0.75,0.61,0.95,2月4日,0.6,2月1日,
069879 奇鋐國票03購03,"242,220","327,000",12,0.74,0.72,0.72,0.83,2月2日,0.59,2月17日,
069880 樺漢國票03購01,"5,230","163,000",3,0.03,0.02,0.01,0.04,2月1日,0.01,2月24日,
069883 臺股指國票02購11,"309,000","60,000",3,5.15,5.15,5.15,5.15,2月1日,5.15,2月1日,
069885 臺股指國票02購13,"77,500","10,000",2,7.75,7.75,7.75,7.75,2月1日,7.75,2月1日,
069886 道瓊銀元大04購01,"27,860","26,000",4,1.07,1.02,0.88,1.22,2月1日,0.88,2月4日,
069888 儒鴻元大02購01,"19,990","51,000",3,0.39,0.39,0.39,0.4,2月3日,0.39,2月4日,
069889 正隆元大02購01,"237,000","1,000,000",8,0.24,0.24,0.23,0.26,2月3日,0.21,2月4日,
069891 上銀元大02購02,"11,370","41,000",4,0.28,0.24,0.34,0.34,2月3日,0.17,2月1日,
069894 台積電元大02購33,"19,880","4,000",1,4.97,4.97,4.97,4.97,2月1日,4.97,2月1日,
069897 宏碁元大02購02,"351,680","996,000",6,0.35,0.43,0.53,0.53,2月4日,0.33,2月2日,
069899 精元元大03購01,"412,280","962,000",28,0.43,0.47,0.35,0.57,2月3日,0.35,2月25日,
069905 欣興元大02購15,"11,000","32,000",9,0.34,0.35,0.35,0.39,2月3日,0.28,2月1日,
069906 智易元大02購01,"18,500","50,000",1,0.37,0.37,0.37,0.37,2月1日,0.37,2月1日,
069907 智易元大02購02,"2,800","70,000",1,0.04,0.04,0.04,0.04,2月2日,0.04,2月2日,
069909 樺漢元大02購02,"27,800","280,000",10,0.1,0.09,0.09,0.11,2月1日,0.09,2月1日,
069910 美利達元大02購02,"6,860","13,000",2,0.53,0.52,0.52,0.62,2月4日,0.52,2月4日,
069912 百和元大02購02,200,"10,000",1,0.02,0.02,0.02,0.02,2月1日,0.02,2月1日,
069917 華碩凱基03購01,"70,260","400,000",30,0.18,0.16,0.12,0.22,2月25日,0.11,2月23日,
069918 精元凱基03購02,"274,660","734,000",7,0.37,0.36,0.34,0.38,2月3日,0.33,2月4日,
069919 奇鋐凱基04購02,"152,730","226,000",6,0.68,0.65,0.57,0.71,2月19日,0.57,2月26日,
069920 欣興凱基03購05,"540,160","3,566,000",53,0.15,0.2,0.23,0.41,2月23日,0.13,2月5日,
069921 欣興凱基04購01,"160,490","458,000",41,0.35,0.3,0.29,0.51,2月24日,0.18,2月4日,
069922 欣興凱基05購01,"1,542,090","2,611,000",129,0.59,0.52,0.6,0.8,2月24日,0.33,2月4日,
069923 精成科凱基02購01,"1,450","5,000",2,0.29,0.29,0.29,0.29,2月1日,0.29,2月1日,
069926 臺股指凱基02購17,"863,900","205,000",3,4.21,4.13,4.13,4.3,2月4日,4.13,2月4日,
069927 儒鴻統一04購01,"48,010","144,000",24,0.33,0.32,0.3,0.4,2月24日,0.28,2月1日,
069929 台積電統一04購11,"30,370","16,000",4,1.9,1.96,1.87,2.34,2月18日,1.68,2月1日,
069930 華碩統一04購01,"362,200","350,000",57,1.03,0.95,1.1,1.19,2月25日,0.86,2月18日,
069933 奇鋐統一04購01,"17,390","35,000",3,0.5,0.49,0.47,0.5,2月2日,0.47,2月17日,
069934 聯詠統一03購03,"144,590","38,000",14,3.8,3.79,3.47,3.95,2月19日,3.47,2月23日,
069936 南電統一03購03,"39,150","10,000",2,3.92,3.92,4.94,4.94,2月19日,2.89,2月1日,
069939 欣興元富08購04,"2,082,000","2,129,000",57,0.98,0.86,0.96,1.15,2月24日,0.6,2月4日,
069940 欣興元富08購05,"2,951,720","4,573,000",182,0.65,0.62,0.73,0.88,2月24日,0.4,2月4日,
069941 景碩元富08購01,"3,962,080","2,041,000",61,1.94,1.96,2.52,2.75,2月24日,1.17,2月1日,
069946 國巨國泰03購03,"392,650","45,000",5,8.73,8.7,9.15,9.5,2月17日,7.85,2月2日,
069947 奇鋐國泰04購01,"36,490","29,000",11,1.26,1.36,1.43,1.46,2月22日,1.2,2月1日,
069949 力成國泰04購01,"2,769,420","3,530,000",111,0.78,0.77,0.7,0.88,2月22日,0.67,2月1日,
069950 國喬永豐02購01,"1,600","1,000",1,1.6,1.6,1.6,1.6,2月4日,1.6,2月4日,
069954 欣興永豐03購01,"1,083,530","868,000",105,1.25,1.1,1.23,1.83,2月24日,0.54,2月5日,
069957 中租永豐02購01,50,"2,000",2,0.02,0.02,0.03,0.03,2月2日,0.02,2月1日,
069959 樺漢永豐02購01,"4,990","499,000",2,0.01,0.01,0.01,0.01,2月2日,0.01,2月2日,
069961 華碩中信05購01,"2,342,360","6,059,000",95,0.39,0.37,0.44,0.49,2月24日,0.31,2月23日,
069963 景碩中信02購02,"13,100","130,000",10,0.1,0.1,0.08,0.12,2月4日,0.08,2月5日,
069965 技嘉群益03購02,"50,800","270,000",20,0.19,0.2,0.35,0.35,2月23日,0.1,2月1日,
069966 聯發科群益03購02,"162,000","30,000",1,5.4,5.4,5.4,5.4,2月5日,5.4,2月5日,
069969 健策群益03購01,"3,600","60,000",2,0.06,0.06,0.06,0.06,2月4日,0.06,2月4日,
069970 志超群益04購01,"309,050","873,000",25,0.35,0.32,0.34,0.4,2月23日,0.25,2月5日,
069971 鴻海日盛02購02,"9,841,500","938,000",14,10.49,10.45,10.5,11.3,2月4日,8.75,2月1日,
069974 南電康和02購03,"525,200","88,000",8,5.97,6.34,7.15,7.15,2月5日,3.35,2月1日,
069975 台化凱基02購01,"4,670","23,000",2,0.2,0.16,0.09,0.22,2月3日,0.09,2月5日,
069976 鴻海凱基04購03,"147,450","31,000",2,4.76,4.65,4.95,4.95,2月26日,4.35,2月23日,
069977 仁寶凱基04購01,"2,632,850","2,357,000",85,1.12,1.11,1.16,1.2,2月25日,1.03,2月2日,
069978 台積電凱基02購20,"1,436,040","234,000",55,6.14,7.16,7.95,8.75,2月3日,3.06,2月1日,
069979 台積電凱基05購01,"2,654,000","1,120,000",70,2.37,2.49,2.04,2.97,2月17日,1.87,2月1日,
069982 大立光凱基06購02,"376,630","1,249,000",40,0.3,0.36,0.35,0.48,2月25日,0.25,2月1日,
069983 奇鋐凱基03購02,"261,990","372,000",14,0.7,0.7,0.67,0.78,2月2日,0.62,2月5日,
069984 玉晶光凱基04購01,100,"5,000",1,0.02,0.02,0.02,0.02,2月3日,0.02,2月3日,
069985 聯茂凱基02購03,100,"1,000",1,0.1,0.1,0.1,0.1,2月4日,0.1,2月4日,
069987 鴻海兆豐03購01,"1,406,840","377,000",4,3.73,3.85,4.02,4.25,2月4日,3.52,2月24日,
069988 宏碁兆豐03購02,"2,431,220","3,428,000",136,0.71,0.7,0.59,0.96,2月25日,0.59,2月26日,
069989 華碩兆豐04購01,"1,419,350","1,216,000",63,1.17,0.98,1.16,1.31,2月24日,0.85,2月23日,
069990 聯發科兆豐03購04,"96,800","41,000",2,2.36,2.58,2.8,2.8,2月17日,2.35,2月2日,
069991 國產兆豐03購01,"97,970","204,000",15,0.48,0.51,0.54,0.59,2月23日,0.35,2月5日,
069992 奇鋐兆豐04購01,"1,012,100","961,000",31,1.05,1.02,0.94,1.16,2月19日,0.92,2月5日,
069994 可成台新02購01,630,"25,000",4,0.03,0.02,0.01,0.03,2月2日,0.01,2月4日,
069995 瑞昱元富02購03,"41,300","1,010,000",12,0.04,0.04,0.03,0.07,2月2日,0.02,2月4日,
069996 可成元富08購01,"604,540","311,000",30,1.94,1.93,1.82,2.05,2月2日,1.8,2月5日,
069997 可成元富08購02,"56,400","40,000",3,1.41,1.43,1.44,1.44,2月23日,1.39,2月22日,
069998 奇鋐元富05購01,"1,395,410","1,307,000",76,1.07,1.04,0.95,1.18,2月22日,0.9,2月5日,
070007 華碩元大03購01,"1,299,970","2,104,000",32,0.62,0.48,0.57,0.65,2月24日,0.31,2月23日,
070008 微星元大02購02,60,"6,000",1,0.01,0.01,0.01,0.01,2月2日,0.01,2月2日,
070019 道瓊反國票02購01,"27,600","2,710,000",18,0.01,0.01,0.01,0.02,2月1日,0.01,2月5日,
070020 台積電國票03購09,"5,615,550","3,336,000",267,1.68,2.01,0.97,3.1,2月17日,0.96,2月1日,
070021 光磊國票03購01,"157,780","446,000",9,0.35,0.3,0.15,0.43,2月2日,0.15,2月25日,
070022 華碩國票02購01,"203,000","300,000",3,0.68,0.68,0.66,0.71,2月2日,0.66,2月5日,
070023 技嘉國票02購01,"1,000","100,000",1,0.01,0.01,0.01,0.01,2月3日,0.01,2月3日,
070024 技嘉國票03購01,"102,100","760,000",8,0.13,0.17,0.25,0.32,2月23日,0.1,2月4日,
070026 聯發科國票04購01,"2,558,470","617,000",41,4.15,4.3,3.01,5.85,2月17日,3.01,2月26日,
070027 玉晶光國票04購03,"1,200","20,000",3,0.06,0.06,0.06,0.06,2月3日,0.06,2月3日,
070028 牧德國票03購05,"198,000","720,000",2,0.28,0.28,0.27,0.28,2月25日,0.27,2月26日,
070029 貿聯國票03購01,"148,600","91,000",4,1.63,1.46,1.29,1.8,2月1日,1.29,2月5日,
070030 和碩國票03購01,"2,120,620","7,919,000",46,0.27,0.21,0.08,0.33,2月2日,0.08,2月25日,
070031 南電國票03購05,"833,550","186,000",12,4.48,6,9.2,9.2,2月26日,2.84,2月1日,
070032 志超國票03購01,590,"10,000",2,0.06,0.06,0.05,0.06,2月4日,0.05,2月24日,
070033 宏碁國泰04購01,"2,588,030","2,504,000",100,1.03,1.01,1.02,1.3,2月25日,0.83,2月2日,
070034 華碩國泰04購01,"1,154,760","656,000",74,1.76,1.67,2.1,2.31,2月24日,1.39,2月1日,
070035 聯詠國泰03購01,"280,750","40,000",3,7.02,7.07,6.55,7.6,2月25日,6.55,2月26日,
070036 敦泰國泰04購01,"60,950","10,000",4,6.1,5.85,6.2,6.2,2月17日,5.6,2月5日,
070037 日月光國泰03購01,"15,820","3,000",3,5.27,5.27,6.5,6.5,2月5日,4.37,2月1日,
070043 新興永豐02購01,300,"10,000",1,0.03,0.03,0.03,0.03,2月5日,0.03,2月5日,
070046 奇鋐永豐03購01,"29,360","23,000",3,1.28,1.26,1.29,1.29,2月24日,1.22,2月3日,
070049 彩晶永豐02購02,"401,900","230,000",11,1.75,1.75,1.62,1.88,2月3日,1.17,2月3日,
070050 南電永豐02購03,"229,060","149,000",25,1.54,1.65,2.38,2.44,2月5日,0.8,2月1日,
070053 國喬中信02購01,240,"12,000",1,0.02,0.02,0.02,0.02,2月5日,0.02,2月5日,
070056 T50反1兆豐03購02,"3,600","72,000",8,0.05,0.05,0.05,0.05,2月1日,0.05,2月1日,
070061 新光金群益02購03,500,"10,000",1,0.05,0.05,0.05,0.05,2月5日,0.05,2月5日,
