,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2886   兆豐金,"9,310,188,752","319,018,708","114,852",29.18,29.1,29.2,29.7,2月25日,28.15,2月1日,2.35
2887   台新金,"3,154,222,373","245,527,440","52,344",12.85,12.85,12.95,13.25,2月25日,12.5,2月4日,2.25
2887E  台新戊特,"30,169,870","574,159",286,52.55,52.59,52.9,52.9,2月26日,52.1,2月1日,0.11
2887F  台新戊特二,"24,429,873","475,293",458,51.4,51.37,51.6,51.6,2月26日,51.1,2月2日,0.16
2888   新光金,"5,283,136,477","638,087,678","99,116",8.28,8.25,8.29,8.45,2月25日,8.03,2月1日,4.9
2888A  新光金甲特,"18,395,344","431,879",386,42.59,42.65,42.6,42.8,2月18日,42.45,2月3日,0.58
2888B  新光金乙特,"126,768,475","3,064,819","1,358",41.36,41.32,41.25,41.7,2月1日,41.1,2月24日,1.38
2889   國票金,"1,119,281,026","83,690,777","24,235",13.37,13.26,13.9,13.95,2月25日,12.55,2月1日,2.89
2890   永豐金,"3,532,503,152","306,668,345","59,704",11.52,11.48,11.65,11.95,2月25日,10.95,2月1日,2.72
2891   中信金,"12,859,899,277","639,741,122","136,068",20.1,19.93,20,20.95,2月24日,19,2月1日,3.28
2891B  中信金乙特,"45,465,292","716,406",492,63.46,63.59,63.7,63.8,2月25日,63.1,2月17日,0.21
2891C  中信金丙特,"15,734,433","255,915",284,61.48,61.57,61.7,61.7,2月26日,61.1,2月19日,0.15
2892   第一金,"4,956,627,896","237,931,198","72,473",20.83,20.76,20.85,21.35,2月25日,20.25,2月2日,1.85
2897   王道銀行,"191,554,391","28,230,212","6,417",6.79,6.74,6.87,6.99,2月25日,6.52,2月2日,1.03
2897A  王道銀甲特,"4,043,572","399,334",184,10.13,10.14,10.1,10.15,2月26日,10.1,2月26日,0.13
5876   上海商銀,"2,660,777,311","67,559,934","25,718",39.38,39.32,39.9,40.8,2月25日,37.5,2月1日,1.51
5880   合庫金,"3,747,866,172","188,282,705","59,223",19.91,19.83,19.95,20.45,2月25日,19.15,2月1日,1.41
6005   群益證,"1,343,863,760","96,199,684","20,318",13.97,13.97,14.1,14.45,2月25日,13.2,2月1日,4.43
6024   群益期,"97,609,763","2,576,334","2,709",37.89,37.77,38.05,38.65,2月25日,37.1,2月1日,1.22
18 貿易百貨類,,,,,,,,,,,
Trading and Consumers' Goods,,,,,,,,,,,
1432   大魯閣,"52,731,281","3,738,350","1,947",14.11,13.89,14.55,15,2月25日,12.6,2月1日,4.98
2601   益航,"679,812,124","70,147,302","21,826",9.69,9.67,10.1,10.2,2月24日,8.85,2月1日,10.21
2614   東森,"380,806,991","22,969,196","9,383",16.58,16.54,16.8,17.05,2月24日,15.75,2月1日,4.13
2901   欣欣,"7,477,717","315,487",929,23.7,23.63,24.15,24.25,2月26日,23.1,2月1日,0.43
2903   遠百,"353,214,162","16,028,348","8,151",22.04,22.07,22.8,23.05,2月25日,21.2,2月4日,1.13
