公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
2458,義隆,4155.82,47.96,28.67,31.81,26.05
2459,敦吉,1516.25,21.49,10.44,12.02,9.28
2460,建通,932.86,19.05,8.7,8.37,6.13
2461,光群雷,1483.75,20.97,8.12,9.96,8.59
2462,良得電,1077.03,4.84,-9.18,-5.41,-3.97
2464,盟立,2285.31,21.96,7.75,7.23,6.12
2465,麗臺,1639.36,14.81,5.63,5.78,4.06
2466,冠西電,216.04,16.98,-10.33,-16.3,-10.27
2467,志聖,1383.7,34.07,13.4,15.08,12.05
2468,華經,534.6,9.48,1.12,1.83,1.48
2471,資通,172.32,32.3,3.2,9.39,8.01
2472,立隆電,2125.18,28.55,16.43,18.13,14.73
2474,可成,12629.38,31.83,22.2,28.15,19.97
2476,鉅祥,1374.75,28.46,13.17,14.94,9.94
2477,美隆電,723.79,18.72,-11.27,337.77,200.49
2478,大毅,1603.95,29.04,19.79,20.15,15.64
2480,敦陽科,1444.34,25.77,12.1,12.51,9.96
2481,強茂,3129.48,27.2,11.71,13.19,9.39
2482,連宇,200.83,33.41,-13.78,-14.71,-13.16
2483,百容,473.1,15.78,-1.66,1.89,1.97
2484,希華,729.61,22.18,10.88,11.86,10.58
2485,兆赫,1403.4,1.56,-8.45,-6.66,-5.44
2486,一詮,1312.93,17.84,8.46,8.31,6.32
2488,漢平,505.4,16.63,4.55,8.18,5.27
2489,瑞軒,4505.71,6.66,-12.41,133.85,107.78
2491,吉祥全,133.01,72,52.64,96.03,80.05
2492,華新科,10505.91,29.36,20.24,25.32,21.05
2493,揚博,766.24,26.9,15.46,14.43,11.73
2495,普安,245.01,45.49,-3.51,15.98,13.85
2496,卓越,156.35,48.45,12.12,11.81,9.47
2497,怡利電,517.54,24.43,4.5,4.57,1.97
2498,宏達電,1175.09,28.95,-108.77,-88.46,-88.34
2501,國建,2759.95,19.05,1.71,0.14,-0.14
2504,國產,5093.19,18.53,14.49,14.49,10.82
2505,國揚,1865.38,24.87,18.52,20.45,18.13
2506,太設,1049.39,32.72,18.88,16.72,14.5
2509,全坤建,376.06,32.9,19.76,16.39,15.92
2511,太子,3232.15,25.04,6.84,26.69,25.2
2514,龍邦,2353.16,9.17,3.71,17.59,16.82
2515,中工,3842.7,6.91,3.74,2.83,2.2
2516,新建,1536.82,4.96,2.98,3.07,3.07
2520,冠德,4920.67,25.96,17.52,16.3,13.08
2524,京城,1433.63,40.73,31.68,28.84,26.14
2527,宏璟,1708.7,27.88,14.33,12.91,12.61
2528,皇普,586.71,25.16,15.47,15.42,15.41
2530,華建,2.21,100,-715.84,-926.47,-926.47
2534,宏盛,887.87,41.65,28.64,20.33,19.6
2535,達欣工,3076.1,10.61,6.62,8.55,7.06
2536,宏普,172.95,35.38,24.87,44.27,40.46
2537,聯上發,3.3,5.75,-559.01,-1144.02,-1144.02
2538,基泰,79.99,38.45,-30.59,14.22,10.33
2539,櫻花建,166.1,38.15,-14.76,-19.07,-22.53
2540,愛山林,1203.09,50.32,34.5,31.73,23.01
2542,興富發,8663.64,32.66,23.7,42.5,36.15
2543,皇昌,1517.39,4.18,1.54,0.64,0.6
2545,皇翔,1121.98,41.28,26.45,20.42,20.01
2546,根基,2645.27,7.55,5.04,5.44,4.42
2547,日勝生,1119.22,48.99,8.47,7.31,0.75
2548,華固,1150.28,29.07,18.69,19.42,16.71
2597,潤弘,4627.43,14.37,10.05,10.49,8.35
2601,益航,1787.69,59.19,9.68,4.36,0.62
2603,長榮,89953.06,51.82,48.9,49.26,45.43
2605,新興,789.05,21.45,15.5,11.9,11.97
2606,裕民,2462.52,14.56,9.44,14.04,13.9
2607,榮運,1697.44,13.15,10.12,11.13,9.6
2608,嘉里大榮,3068.62,19.69,13.84,13.15,10.47
2609,陽明,62282.46,50.95,46.7,46.06,39.48
2610,華航,27827.66,5.99,-1.69,-4.79,-4.37
2611,志信,163.32,13.26,-14.26,46.57,47.08
2612,中航,792.82,17.16,4.77,28.44,27.84
2613,中櫃,718.47,11.48,5.35,0.99,0.55
2614,東森,1243.48,24.81,-3.3,2.05,4.05
2615,萬海,38616.34,49.58,45.57,47.09,38.27
2616,山隆,4344.76,10.95,2.4,2.64,2.07
2617,台航,654.56,29.33,24.91,27.25,23.8
2618,長榮航,19678.81,2.54,-8.95,-12.25,-11.18
2630,亞航,899.35,5.45,-0.31,3.21,2.67
2633,台灣高鐵,9867.36,35.05,32.16,11.79,13.93
2634,漢翔,4658.44,-0.18,-5.12,-4.5,-5.69
2636,台驊投控,5892.33,18.08,7.63,8.51,6.76
2637,慧洋-KY,3537.78,29.05,27.96,25.32,25.15
2642,宅配通,1048.31,18.05,7.28,7.29,5.84
2701,萬企,70.39,59.75,50.35,1.67,1.34
2702,華園,160.01,62.86,-36.85,-45.34,-25.04
2704,國賓,549.39,36.08,4.46,-1.22,-1.21
2705,六福,326.76,8.02,-43.13,-51.39,-49.64
2706,第一店,69.49,76.33,68.81,-13.78,-10.43
2707,晶華,1546.13,32.32,19.53,23.14,19.1
2712,遠雄來,131.26,38.49,13.81,14.71,11.77
2722,夏都,172.3,39.2,6.14,5.41,4.27
2723,美食-KY,4874.77,58.83,7.37,7.43,5.14
2727,王品,4718.98,46.07,4.99,3.48,2.79
2731,雄獅,555.22,14.69,-50.78,-31.32,-22.29
2739,寒舍,821.94,23.47,-9.69,-11.04,-9.19
2748,雲品,508.07,27.58,8.6,6.91,5.43
2816,旺旺保,2234.99,33.79,10.53,10.67,9.49
2823,中壽,78724.36,16.47,13.87,13.88,12.5
2832,台產,1739.79,21.16,-2.67,-2.72,-1.22
2841,台開,78.44,58.88,-191.77,-259.84,-236.81
2850,新產,4478.63,31.53,12.06,12.12,10.55
2851,中再保,5427.89,18.87,16.69,16.69,14.4
2852,第一保,1553.57,28.16,5.94,5.93,4.51
2867,三商壽,44217.44,7.47,4.98,5.07,3.7
2901,欣欣,25.43,85.68,6.16,21.12,16.8
2903,遠百,9342.22,50.87,13.64,13.34,10.66
2904,匯僑,133.59,41.11,24.98,35.1,30
2906,高林,1876.9,24.72,3.38,4.31,3.22
2908,特力,11576.6,25.34,2.66,3.22,2.47
2910,統領,204.47,39.48,15.81,22.13,18.2
2911,麗嬰房,976.14,46.24,-8.13,-6.23,-6.84
2912,統一超,65053.2,34.1,4.85,5.23,4.57
2913,農林,91.38,36.13,-41.73,-5.69,2.62
2915,潤泰全,642.49,31.42,-5.36,1067.72,1059.99
2923,鼎固-KY,1345.25,57.45,42.91,78.02,57.13
2929,淘帝-KY,814.14,5.99,-17.35,-7.89,-7.78
2936,客思達-KY,2353.47,30.18,2.25,1.46,1.05
2939,凱羿-KY,322.23,22.79,3.12,3.25,2.03
3002,歐格,133.54,21.91,-6.11,3.19,2.22
3003,健和興,1061.55,34.67,21.9,24.6,17.91
3004,豐達科,331.79,10.15,-9.7,-7.42,-7.42
3005,神基,7243.03,24.15,7.85,8.4,6.93
3006,晶豪科,4971.48,23.01,12.73,14.7,12.92
3008,大立光,11819.84,64.74,53.7,55.01,44.97
3010,華立,16283.54,8.83,4.46,5.37,4.11
3011,今皓,304.23,2.25,-15.1,-12.72,-10.84
3013,晟銘電,1058.73,8.23,0.11,1.42,1.22
3014,聯陽,1521.95,50.81,26.22,28.22,24.62
3015,全漢,3948.57,13.92,4.46,4.59,3.5
3016,嘉晶,1114.62,10.24,5.11,5.11,4.09
3017,奇鋐,10598.8,15.73,7.95,8.45,5.98
3018,同開,433.25,6.68,-3.51,-4.82,-5.86
3019,亞光,4728.53,20.44,9.46,9.48,8.16
3021,鴻名,809.43,19.76,6.27,5.63,4.13
3022,威強電,1426.59,36.54,14.48,22.44,18.05
3023,信邦,5991.55,26.06,12.72,13.41,10.3
3024,憶聲,395.93,21.62,2.24,4.76,4.41
3025,星通,121.76,38.14,-11.04,-11.79,-11.31
3026,禾伸堂,4407.91,22.69,12.9,13.04,11.44
3027,盛達,200.71,34.9,-1.59,5.86,2.55
3028,增你強,10468.07,5.31,2.43,2.35,1.84
3029,零壹,2895.49,9.66,4.56,5.03,3.98
3030,德律,1347.77,54.6,28.68,28.91,21.93
3031,佰鴻,336.22,31.93,10.57,17.24,14.63
3032,偉訓,2490.79,16.88,4.01,4.96,3.57
3033,威健,15823.15,6.02,2.51,2.41,1.73
3034,聯詠,26366.52,43.64,27.35,27.63,22.28
3035,智原,1534.98,48.78,9.04,13.57,11.66
3036,文曄,97646.38,3.55,2.06,1.94,1.53
3037,欣興,21823.18,17.21,5.66,11.67,10.06
3038,全台,944.76,18.06,6.87,6.43,5.38
3040,遠見,43.44,61.62,36.01,126.2,92.37
3041,揚智,568.58,37.02,-12.22,-13.22,-13.6
3042,晶技,3310.71,36.15,21.48,22.76,19.09
3043,科風,222.62,22.22,-4.5,-1.63,-1.63
3044,健鼎,15101.05,18.71,10.26,11.74,9.33
3045,台灣大,35312.59,21.07,10.31,10.33,9.25
3046,建碁,484.87,19.71,2.94,3.1,2.38
3047,訊舟,1210.08,21.54,-2.54,-2.9,-3.06
3048,益登,24554.48,3.26,1.48,1.34,1.09
3049,和鑫,945.71,33.5,26.52,31.68,25.5
3050,鈺德,246.86,34.16,14.23,15.59,12.34
3051,力特,752.26,24.41,12.85,93.42,79.51
3052,夆典,821.03,9.97,5.85,6.61,4.93
3054,立萬利,13.55,-23.2,-142.61,87.64,84.38
3055,蔚華科,1080.21,11.69,-7.78,-9.42,-9.68
3056,總太,3568.03,29.36,26.73,26.78,21.37
3057,喬鼎,213.22,39,-4.03,-4.58,-4.78
3058,立德,1014.05,7.44,-7.67,-5.16,-5.16
3059,華晶科,1980.86,23,1.42,3.42,2.06
3060,銘異,870.52,13.54,-0.6,0.49,-0.61
3062,建漢,1053.21,7.66,-0.13,-1.27,-1.55
3090,日電貿,2775.09,18.85,11.06,10.98,8.65
3092,鴻碩,667.7,21.38,4.95,4.99,3.79
3094,聯傑,67.45,67.73,17.45,31.13,24.97
3130,一零四,437.9,89.8,23.23,24.18,23.64
3138,耀登,315.8,38.88,7.96,7.87,6.19
3149,正達,624.42,3.81,-4.65,-0.89,-0.89
3164,景岳,103.77,70.9,37.62,37.39,28.87
3167,大量,958,24.08,12.2,12.73,8.38
3189,景碩,7225.99,22.12,6.05,6.24,5.16
3209,全科,11594.12,5.09,1.84,1.9,1.48
3229,晟鈦,102.92,12.61,-15.28,-6.11,-6.56
3231,緯創,177359.39,5.95,1.74,0.7,0.54
3257,虹冠電,278.97,52.4,31.35,33.91,29.63
3266,昇陽,204.31,21.98,-5.61,-3.29,-3.93
3296,勝德,633.12,8.98,-8.74,-6.43,-5.46
3305,昇貿,1712.24,15.73,9.7,9.9,7.16
3308,聯德,64.12,-13.02,-44.33,-21.16,5.5
3311,閎暉,470.66,15.88,3.19,4.66,2.99
3312,弘憶股,4095.78,4.9,1.82,2,1.59
3321,同泰,524.49,8.36,-5.4,-5.09,-5.68
3338,泰碩,1139.48,14.92,1.76,1.67,0.99
3346,麗清,1503.4,16.8,2.93,3.75,2.96
3356,奇偶,264.13,48.14,5.91,18.33,17.36
3376,新日興,3142.95,21.93,14.64,15.72,9.38
3380,明泰,7193.29,14.93,2.1,2.16,1.63
3383,新世紀,141.54,-13.62,-33.95,-13.29,-13.84
3406,玉晶光,2564.24,35.69,13.38,13.92,10.91
3413,京鼎,2697.29,22.86,13.42,15.84,11.41
3416,融程電,584.7,34.31,17.81,17.5,14
3419,譁裕,326.64,19.8,-3.7,-2.16,-2.16
3432,台端,8.89,27.9,-64.62,291.32,253.84
3437,榮創,1533.37,11.86,2.06,2.45,2.1
3443,創意,3312.19,34.5,10.68,11.11,9.3
3450,聯鈞,1741.56,23.26,15.17,14.91,10.7
3454,晶睿,1281.27,35.68,5.21,5.11,3.68
3481,群創,83838.7,25.8,17.75,15.03,13.8
3494,誠研,102.69,-5.42,-64.07,-75.18,-75.64
3501,維熹,1182.82,19.94,7.6,9.41,6.7
3504,揚明光,1034.52,13.59,-3.31,-2.65,-3.18
3515,華擎,4675.96,25.25,13.83,13.9,10.93
3518,柏騰,191.14,33.45,2.76,3.89,-3.35
3528,安馳,1536.03,12.73,6.54,6.46,5.14
3530,晶相光,923.36,25.54,14.58,14.95,12.78
3532,台勝科,2953.65,20.41,14.91,13.42,11.05
3533,嘉澤,4743.57,41.45,21.51,23.07,17.59
3535,晶彩科,498.8,26.06,11.69,11.93,11.18
3536,誠創,149.45,11.81,-13.35,-0.54,-0.54
3543,州巧,823.99,10.47,-5.38,22.75,16.91
3545,敦泰,4349.85,37.44,21.28,22.49,19.24
3550,聯穎,1121.45,17.96,4.32,5.17,3.49
3557,嘉威,1474.28,38.52,17.29,16.57,15.86
3563,牧德,688.63,63.4,38.94,38.51,30.95
