,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
06151P 台積電元大07售53,"1,178,390","656,000",18,1.80,1.80,1.88,1.96,03/08,1.70,03/17,
06152P 南電統一07售07,"2,857,110","5,630,000",183,0.51,0.45,0.28,0.62,03/05,0.28,03/30,
06153P 京元電元富07售02,"2,909,250","1,929,000",148,1.51,1.43,1.18,1.86,03/05,1.17,03/31,
06154P 南電元富07售13,"5,385,560","13,236,000",383,0.41,0.53,0.22,0.81,03/09,0.22,03/31,
06155P 滬深2X國票08售03,"2,831,680","1,484,000",131,1.91,2.06,2.17,2.47,03/25,1.47,03/02,
06156P 台積電國票08售16,"7,978,040","3,274,000",46,2.44,2.58,2.37,3.01,03/09,2.31,03/29,
06157P 台積電國票08售17,"21,946,280","12,318,000",96,1.78,1.83,1.84,2.18,03/05,1.63,03/17,
06158P 台積電國票09售08,"10,332,850","2,811,000",106,3.68,3.60,3.58,4.22,03/25,3.24,03/17,
06159P 鴻海國泰09售05,"20,874,570","21,842,000",589,0.96,0.95,0.79,1.39,03/02,0.57,03/23,
06160P T50正2富邦08售02,"221,440","190,000",18,1.17,1.11,0.94,1.27,03/05,0.94,03/23,
06161P 臺指2X中信0B售01,"91,620","135,000",17,0.68,0.69,0.63,0.80,03/05,0.61,03/18,
06162P 臺指2X中信0B售02,"51,870","112,000",27,0.46,0.46,0.37,0.54,03/05,0.37,03/31,
06163P 廣宇中信08售02,"1,690,570","2,515,000",132,0.67,0.61,0.49,0.83,03/09,0.41,03/23,
06164P 乙盛群益08售03,"4,957,810","4,074,000",262,1.22,1.41,1.01,1.96,03/02,0.84,03/30,
06165P 中興電凱基08售03,"925,950","1,062,000",85,0.87,0.88,0.85,1.05,03/03,0.79,03/15,
06166P 台積電凱基08售17,"730,100","475,000",39,1.54,1.52,1.50,1.76,03/25,1.39,03/29,
06167P 臺股指凱基08售07,"5,093,500","5,124,000",188,0.99,1.02,0.67,1.47,03/09,0.64,03/31,
06168P 臺股指凱基0B售02,"28,720","50,000",14,0.57,0.57,0.47,0.72,03/04,0.47,03/31,
06169P 鴻海元大08售07,"1,315,210","1,092,000",59,1.20,1.45,1.28,2.15,03/02,0.92,03/23,
06170P 鴻海元大08售08,"15,204,440","8,635,000",316,1.76,1.94,1.71,2.66,03/09,1.30,03/23,
06171P 群創元大08售04,"2,896,030","6,106,000",161,0.47,0.58,0.25,0.82,03/09,0.22,03/31,
06172P 貿聯元大08售02,"5,605,840","3,268,000",175,1.72,1.73,1.65,1.87,03/09,1.47,03/02,
06173P 祥碩元大08售01,"982,680","501,000",36,1.96,1.94,2.00,2.14,03/11,1.64,03/02,
06174P 祥碩元大08售02,"1,504,040","897,000",90,1.68,1.63,1.72,1.90,03/22,1.33,03/02,
06175P 臺股指元大0B售02,"7,848,950","4,287,000",33,1.83,1.73,1.45,2.13,03/05,1.45,03/31,
06176P 臺股指元大0B售03,"11,737,620","11,429,000",447,1.03,1.00,0.85,1.32,03/05,0.80,03/31,
06177P 臺股指元大0B售04,"36,329,710","31,456,000","1,270",1.15,1.16,0.98,1.41,03/05,0.94,03/31,
06178P 台灣50元富0B售04,"593,260","486,000",37,1.22,1.23,1.06,1.42,03/09,1.06,03/29,
06179P 鴻海元富08售18,"369,990","376,000",8,0.98,0.80,0.67,1.04,03/09,0.65,03/23,
06180P 台積電元富08售38,"8,760","8,000",2,1.10,1.10,1.12,1.12,03/09,1.07,03/04,
06181P 台灣50台新08售02,"66,380","101,000",11,0.66,0.67,0.62,0.82,03/09,0.58,03/16,
06182P 台積電國票08售18,"2,609,680","1,296,000",52,2.01,2.05,1.82,2.44,03/25,1.75,03/30,
061836 華新科凱基05購01,"3,492,720","1,841,000",146,1.90,1.71,1.34,2.35,03/16,1.32,03/31,
061837 華新科凱基05購02,"3,179,880","3,106,000",152,1.02,0.88,0.65,1.30,03/02,0.51,03/25,
061838 華新科凱基05購03,"2,535,900","1,738,000",58,1.46,1.29,0.86,1.72,03/03,0.86,03/22,
061839 華新科凱基05購04,"763,820","735,000",121,1.04,1.06,0.91,1.30,03/11,0.76,03/25,
06183P 台積電國票08售19,"2,209,450","812,000",40,2.72,2.76,2.47,3.32,03/05,2.30,03/29,
06184P 上緯控國票08售01,"138,810","106,000",5,1.31,1.30,1.29,1.32,03/16,1.28,03/23,
06185P 臺股指國票08售06,"573,350","272,000",27,2.11,1.78,1.38,2.35,03/09,1.38,03/31,
06186P 臺股指國票08售07,"93,450","65,000",11,1.44,1.45,1.22,1.63,03/22,1.22,03/29,
06187P 台積電兆豐09售02,"2,577,940","2,208,000",111,1.17,1.17,1.15,1.36,03/25,1.04,03/12,
06188P 台灣50凱基09售01,"737,280","578,000",35,1.28,1.27,1.08,1.58,03/05,1.08,03/30,
06189P 台灣50凱基09售02,"11,370","12,000",3,0.95,0.98,0.94,1.03,03/26,0.94,03/29,
061908 台積電中信05購01,"9,780","2,000",2,4.89,4.89,4.88,4.90,03/11,4.88,03/17,
06190P 台積電凱基08售19,"2,614,990","1,988,000",94,1.32,1.31,1.29,1.52,03/25,1.16,03/12,
06191P 台積電凱基08售20,"43,990","34,000",4,1.29,1.31,1.20,1.42,03/24,1.20,03/31,
06192P 祥碩凱基08售04,"3,508,450","1,695,000",97,2.07,2.04,2.20,2.31,03/22,1.72,03/02,
06193P 臺股指凱基0A售05,"6,686,360","5,605,000",85,1.19,1.30,1.02,1.63,03/09,0.98,03/31,
06194P 臺股指凱基0A售06,"3,832,290","3,534,000",57,1.08,1.09,0.88,1.45,03/05,0.84,03/30,
06195P 台灣50群益09售01,"894,390","874,000",10,1.02,1.07,0.95,1.16,03/05,0.95,03/11,
06196P 台灣50群益09售02,"28,680","27,000",3,1.06,1.09,0.94,1.20,03/04,0.94,03/31,
06197P T50正2群益09售01,"527,000","600,000",5,0.88,0.87,0.91,0.91,03/09,0.83,03/03,
06198P 聯電群益0A售02,"14,475,290","4,743,000",209,3.05,2.97,2.52,3.61,03/09,2.28,03/02,
06199P 鴻海群益08售13,"14,252,050","12,925,000",202,1.10,1.22,1.06,1.68,03/02,0.83,03/23,
06200P 鴻海群益09售06,"336,140","288,000",4,1.17,1.17,1.18,1.18,03/09,1.16,03/09,
06201P 臺股指群益08售01,"8,882,340","5,769,000",156,1.54,1.42,0.99,1.95,03/05,0.97,03/30,
06202P 臺股指群益08售02,"1,849,420","1,507,000",50,1.23,1.15,0.83,1.50,03/09,0.83,03/31,
06204P 廣宇國票09售01,"4,991,510","3,927,000",325,1.27,1.27,1.16,1.51,03/09,0.95,03/23,
06205P 台積電統一08售05,"1,084,120","1,061,000",45,1.02,1.00,0.94,1.21,03/25,0.87,03/12,
06206P 聯發科統一08售06,"631,700","760,000",34,0.83,0.84,0.48,1.07,03/10,0.47,03/31,
06207P 台積電元富0B售05,"50,170","48,000",3,1.05,1.00,1.00,1.05,03/03,1.00,03/03,
06208P 宏碁凱基08售03,"1,645,290","1,696,000",101,0.97,1.14,0.77,1.60,03/05,0.72,03/25,
06209P T50正2群益09售02,"4,600","10,000",2,0.46,0.46,0.47,0.47,03/05,0.45,03/04,
06211P 聯茂群益08售03,"1,342,970","858,000",36,1.57,1.51,1.34,1.71,03/09,1.31,03/02,
06212P 台灣50元富08售05,"11,965,530","5,485,000",160,2.18,2.19,1.83,2.64,03/09,1.75,03/30,
06213P 台灣50元富0B售05,"532,470","548,000",20,0.97,1.02,0.88,1.22,03/05,0.88,03/30,
06214P 大立光元富08售01,"7,650","12,000",8,0.64,0.64,0.65,0.72,03/05,0.59,03/09,
06215P T50反1元大0B售01,"1,659,000","1,920,000",29,0.86,0.87,0.95,0.95,03/29,0.80,03/09,
06216P 東鋼元大08售03,"2,712,150","4,663,000",130,0.58,0.57,0.28,0.89,03/03,0.27,03/30,
06217P 華通元大08售02,"1,019,620","768,000",73,1.33,1.32,1.19,1.44,03/09,1.16,03/26,
06218P 國巨元大08售05,"4,530,570","2,989,000",317,1.52,1.54,1.49,1.89,03/09,1.28,03/02,
06219P 國巨元大08售06,"3,190,970","1,799,000",123,1.77,1.78,1.72,2.06,03/09,1.49,03/02,
06220P 台積電元大08售16,"759,540","544,000",18,1.40,1.40,1.53,1.62,03/09,1.23,03/12,
06221P 台積電元大08售17,"517,930","334,000",10,1.55,1.53,1.53,1.66,03/03,1.39,03/12,
06222P 台積電元大09售10,"5,096,730","3,271,000",150,1.56,1.54,1.52,1.76,03/25,1.40,03/08,
06223P 宏碁元大08售01,"938,580","1,064,000",40,0.88,1.00,0.67,1.50,03/05,0.63,03/25,
06224P 南亞科元大08售01,"1,396,020","1,557,000",71,0.90,0.93,0.81,1.24,03/09,0.73,03/18,
06225P 強茂元大08售02,"1,322,020","1,239,000",53,1.07,1.00,0.85,1.33,03/09,0.85,03/31,
06226P 緯創元大08售02,"2,306,340","1,608,000",84,1.43,1.48,1.15,2.01,03/04,1.13,03/31,
06227P 巨大元大08售01,"1,798,500","2,165,000",127,0.83,1.20,0.59,1.51,03/05,0.57,03/31,
06228P 台灣50群益09售04,"560,600","306,000",34,1.83,1.81,1.86,2.13,03/09,1.54,03/18,
06229P 聯詠群益08售01,"2,192,460","4,638,000",201,0.47,0.55,0.25,0.94,03/05,0.22,03/31,
062301 聯詠中信05購01,"76,500","10,000",1,7.65,7.65,7.65,7.65,03/30,7.65,03/30,
06230P 台灣50元大08售01,"1,325,350","1,202,000",34,1.10,1.11,0.85,1.34,03/09,0.85,03/30,
06231P 台灣50元大08售02,"233,720","196,000",14,1.19,1.17,1.02,1.42,03/05,1.02,03/26,
06232P 台灣50元大08售03,"245,210","194,000",8,1.26,1.32,1.24,1.55,03/09,1.17,03/18,
06233P 友達凱基08售08,"1,695,240","1,804,000",41,0.94,0.90,0.71,1.06,03/08,0.64,03/23,
06234P 群創凱基08售08,"476,110","1,169,000",69,0.41,0.58,0.33,0.94,03/09,0.31,03/30,
06235P 臺股指中信0C售04,"333,990","371,000",40,0.90,0.89,0.75,1.02,03/09,0.75,03/31,
06236P T50正2群益0A售01,"800,660","1,123,000",8,0.71,0.79,0.69,1.01,03/05,0.69,03/30,
06238P 大毅群益08售04,"1,413,830","914,000",51,1.55,1.50,1.44,1.67,03/09,1.39,03/04,
06239P 緯穎群益08售02,"2,571,350","2,264,000",92,1.14,1.07,0.95,1.28,03/02,0.91,03/15,
06240P 亞德客元大08售02,"10,202,650","5,133,000",184,1.99,1.94,1.65,2.43,03/05,1.52,03/29,
06241P 聯電元大08售06,"10,685,750","5,383,000",135,1.99,1.87,1.45,2.40,03/09,1.43,03/31,
06242P 台積電元大08售20,"2,042,740","941,000",49,2.17,2.20,2.43,2.43,03/25,1.98,03/17,
06243P 聯發科元大08售08,"1,191,290","628,000",39,1.90,1.91,1.28,2.28,03/10,1.28,03/30,
06244P 可成元大08售03,"521,980","452,000",26,1.15,1.09,0.93,1.30,03/08,0.93,03/26,
06245P 晶豪科元大08售04,"6,152,940","10,748,000",567,0.57,0.53,0.26,0.76,03/03,0.23,03/31,
06246P 聯詠元大08售01,"3,440,430","3,940,000",202,0.87,0.78,0.37,1.19,03/05,0.34,03/31,
06247P 鴻海統一0A售13,"40,050","73,000",7,0.55,0.55,0.55,0.59,03/02,0.52,03/03,
06248P 台積電統一09售22,"4,043,680","4,303,000",54,0.94,0.94,0.92,1.05,03/09,0.84,03/18,
06249P T50反1元富12售02,"319,420","366,000",19,0.87,0.87,0.93,0.95,03/31,0.80,03/05,
06250P 鴻海元富0B售06,290,"1,000",1,0.29,0.29,0.29,0.29,03/17,0.29,03/17,
06251P 鴻海元富0B售07,"438,200","902,000",42,0.49,0.58,0.50,0.75,03/03,0.37,03/23,
06252P 台積電元富0B售06,"2,430","3,000",1,0.81,0.81,0.81,0.81,03/24,0.81,03/24,
06253P 台積電元富0B售07,"1,051,210","1,735,000",67,0.61,0.58,0.58,0.66,03/25,0.54,03/29,
06254P 南亞科元富09售04,"2,156,540","2,040,000",128,1.06,1.08,0.96,1.31,03/09,0.88,03/02,
06255P 友達元富08售02,"4,417,780","7,083,000",188,0.62,0.62,0.39,0.82,03/09,0.34,03/30,
06256P 聯發科元富08售10,"490,180","610,000",27,0.80,0.73,0.52,0.86,03/05,0.52,03/30,
06257P 鴻海台新08售02,"273,070","294,000",9,0.93,1.00,1.03,1.08,03/25,0.80,03/23,
06258P 聯發科台新08售01,"66,000","60,000",4,1.10,1.09,1.13,1.13,03/10,1.04,03/04,
06259P 台積電國票09售10,"1,436,080","894,000",39,1.61,1.61,1.43,1.89,03/09,1.39,03/18,
06260P 台積電國票09售11,"1,172,850","739,000",23,1.59,1.59,1.50,1.78,03/09,1.48,03/17,
06261P 台積電群益09售07,"2,803,530","1,533,000",38,1.83,1.88,2.07,2.10,03/05,1.71,03/18,
06262P 聯發科群益08售15,"970,810","560,000",41,1.73,1.73,1.09,2.15,03/09,1.09,03/30,
06263P 萬海群益08售06,"759,720","626,000",65,1.21,1.26,0.79,1.67,03/02,0.79,03/30,
06264P 南電群益09售01,"3,801,420","4,934,000",132,0.77,0.76,0.38,1.09,03/09,0.38,03/31,
06265P 聯發科永豐08售04,"270,960","176,000",22,1.54,1.58,1.16,1.87,03/10,1.12,03/30,
06266P 台灣50凱基09售04,"1,345,900","1,020,000",26,1.32,1.29,1.16,1.48,03/05,1.16,03/26,
062671 國泰金中信03購01,"359,500","290,000",23,1.24,1.36,1.79,1.86,03/11,0.87,03/04,
062672 兆豐金中信03購01,"13,840","22,000",3,0.63,0.61,0.68,0.68,03/09,0.54,03/02,
062673 台新金中信03購01,"7,360","8,000",1,0.92,0.92,0.92,0.92,03/09,0.92,03/09,
06267P 台灣50凱基0A售01,"1,337,700","990,000",27,1.35,1.29,1.09,1.49,03/05,1.09,03/30,
06268P 鴻海凱基0A售11,"1,049,470","1,093,000",40,0.96,1.06,0.88,1.47,03/04,0.80,03/23,
06269P 國巨凱基09售06,"4,986,100","2,666,000",179,1.87,1.84,1.81,2.15,03/09,1.59,03/02,
06270P 台積電凱基08售22,"1,649,890","914,000",27,1.81,1.79,1.63,2.05,03/09,1.60,03/17,
062715 T50反1凱基03購01,100,"10,000",10,0.01,0.01,0.01,0.01,03/09,0.01,03/09,
06271P 台積電凱基08售23,"1,343,000","810,000",21,1.66,1.66,1.70,1.89,03/09,1.50,03/17,
06272P 南電凱基09售02,"3,380,740","2,700,000",252,1.25,1.25,0.82,1.60,03/05,0.81,03/31,
06273P 台積電元大08售24,"18,250,100","10,010,000",213,1.82,1.84,1.83,2.09,03/25,1.69,03/17,
06274P 台積電元大08售25,"1,250,720","705,000",37,1.77,1.77,1.77,2.03,03/25,1.63,03/17,
06275P 聯發科元富08售11,"3,371,210","1,357,000",230,2.48,2.47,1.96,2.87,03/09,1.91,03/31,
06276P 臻鼎元富08售02,"67,530","90,000",12,0.75,0.80,0.74,1.03,03/12,0.70,03/24,
06277P 台積電日盛08售03,"549,180","404,000",27,1.36,1.37,1.47,1.47,03/24,1.25,03/02,
06278P 鴻海統一08售06,"832,830","1,253,000",30,0.66,0.67,0.47,0.83,03/09,0.41,03/18,
06279P 群創群益08售05,"205,600","272,000",9,0.76,0.66,0.29,0.89,03/02,0.27,03/29,
06280P 臺股指群益08售06,"19,080","8,000",2,2.38,2.38,2.46,2.46,03/05,2.31,03/04,
06281P 臺股指群益08售07,"12,592,860","5,592,000",144,2.25,2.08,1.61,2.65,03/05,1.61,03/31,
06282P 臺股指群益08售08,"724,300","341,000",53,2.12,2.26,1.83,2.88,03/05,1.74,03/31,
06283P 鴻海元大0C售02,"6,341,550","5,350,000",227,1.19,1.19,1.09,1.52,03/02,0.59,03/17,
06284P 台積電元大0C售01,"16,968,960","9,705,000",197,1.75,1.78,1.80,1.99,03/25,1.67,03/18,
06285P 美律元大08售01,"945,550","693,000",22,1.36,1.40,1.32,1.54,03/09,1.29,03/30,
06286P 聯發科元大08售11,"3,738,790","2,531,000",122,1.48,1.58,1.19,1.85,03/10,1.17,03/31,
06287P 聯發科元大08售12,"5,477,520","2,643,000",199,2.07,2.10,1.56,2.50,03/10,1.49,03/31,
06288P 玉晶光康和08售02,"299,260","106,000",4,2.82,2.81,2.86,2.86,03/24,2.73,03/23,
06289P 臺股指國票08售09,"714,800","360,000",19,1.99,2.08,1.65,2.34,03/19,1.65,03/31,
06290P 臺股指國票08售10,"2,118,150","1,154,000",24,1.84,1.87,1.77,2.00,03/09,1.68,03/03,
06291P 可成元富08售06,"283,990","219,000",19,1.30,1.33,0.94,1.71,03/02,0.94,03/31,
06292P 群創元富09售02,"9,520,830","14,169,000",508,0.67,0.76,0.34,1.05,03/03,0.30,03/30,
06293P 聯電台新08售02,"2,758,880","2,419,000",61,1.14,1.12,1.13,1.28,03/09,0.85,03/02,
06294P 鴻海凱基08售19,"1,234,710","1,349,000",40,0.92,0.82,0.50,1.01,03/04,0.50,03/18,
06295P 聯發科凱基08售20,"2,661,730","1,341,000",84,1.98,2.04,1.53,2.43,03/09,1.52,03/31,
06296P 聯詠凱基08售04,"1,321,660","718,000",72,1.84,1.71,1.15,2.15,03/05,1.15,03/30,
06297P 臺股指凱基08售08,"17,550","6,000",2,2.92,2.92,3.03,3.03,03/05,2.82,03/04,
06298P 臺股指凱基08售09,"1,421,110","838,000",13,1.70,1.89,1.43,2.46,03/05,1.43,03/29,
06299P 臺股指凱基08售10,"1,240,500","454,000",16,2.73,2.48,1.78,3.04,03/05,1.78,03/30,
06300P 臺股指凱基08售11,"6,995,210","2,931,000",122,2.39,2.56,2.02,3.39,03/05,1.90,03/31,
06301P 臺股指凱基08售12,"2,515,950","1,598,000",14,1.57,1.65,1.39,1.93,03/09,1.39,03/23,
06302P 臺股指凱基08售13,"2,708,480","1,258,000",15,2.15,2.17,1.76,2.57,03/09,1.76,03/29,
06303P 臺股指凱基08售14,"2,752,090","1,185,000",48,2.32,2.39,1.94,3.04,03/05,1.94,03/31,
06304P 臺股指凱基09售14,"915,470","824,000",11,1.11,1.11,1.11,1.20,03/02,1.01,03/18,
063057 祥碩統一03購01,"928,630","3,005,000",91,0.31,0.37,0.20,0.61,03/02,0.18,03/11,
06305P 台積電元大08售26,"6,153,820","3,421,000",113,1.80,1.80,1.81,2.03,03/25,1.68,03/17,
063069 道瓊銀富邦05購01,"30,970","27,000",8,1.15,1.23,1.00,1.41,03/11,1.00,03/31,
06306P 台積電元大08售27,"1,080,820","501,000",55,2.16,2.19,2.07,2.47,03/09,2.02,03/17,
06307P 聯發科元大08售13,"4,843,500","3,310,000",174,1.46,1.61,1.26,1.87,03/09,1.20,03/31,
06308P 臺股指元大08售13,"2,750","2,000",2,1.38,1.38,1.28,1.47,03/12,1.28,03/18,
06309P 臺股指元大08售14,"2,444,230","1,445,000",12,1.69,1.73,1.53,2.05,03/03,1.50,03/18,
06310P 臺股指元大08售15,"2,107,680","1,552,000",14,1.36,1.34,1.10,1.60,03/03,1.10,03/29,
06311P 臺股指元大08售16,"15,160,950","6,414,000",169,2.36,2.46,1.99,3.04,03/05,1.90,03/31,
06312P 臺股指元大08售17,"8,136,290","6,404,000",216,1.27,1.33,1.07,1.61,03/09,1.04,03/31,
06313P 臺股指元大08售18,"12,351,470","9,011,000",383,1.37,1.44,1.20,1.79,03/05,1.13,03/31,
06314P 南電群益08售03,"6,749,760","5,314,000",238,1.27,1.16,0.67,1.60,03/05,0.67,03/31,
06315P 臺股指群益08售11,"5,724,310","2,912,000",163,1.97,1.89,1.35,2.63,03/09,0.96,03/22,
06316P 臺股指群益08售12,"300,190","146,000",7,2.06,2.30,1.96,2.79,03/05,1.96,03/16,
06317P 臺股指中信0A售07,"198,610","112,000",8,1.77,1.80,1.82,1.92,03/02,1.71,03/18,
06318P 上証2X群益09售02,"104,000","20,000",1,5.20,5.20,5.20,5.20,03/03,5.20,03/03,
06319P 聯電群益08售08,"407,580","241,000",50,1.69,1.75,1.65,1.97,03/09,1.35,03/02,
06320P 臺股指群益08售13,"9,955,360","3,199,000",284,3.11,3.23,2.73,3.98,03/05,2.59,03/31,
06321P 友達兆豐08售02,"6,889,550","11,801,000",304,0.58,0.61,0.38,0.76,03/09,0.34,03/29,
06322P 上証2X元大08售03,"16,372,780","3,756,000",30,4.36,4.44,4.37,4.91,03/23,3.53,03/02,
06323P 台積電元大08售30,"3,016,240","1,160,000",81,2.60,2.60,2.62,2.91,03/25,2.41,03/12,
06324P 創意元大08售03,"6,954,530","5,146,000",196,1.35,1.33,1.31,1.51,03/25,1.11,03/02,
06325P 緯穎元大08售05,"2,897,160","1,911,000",94,1.52,1.50,1.39,1.74,03/09,1.26,03/16,
063261 康控富邦03購01,"6,800","290,000",4,0.02,0.03,0.02,0.03,03/03,0.02,03/04,
06326P 南電元大08售07,"7,184,220","5,787,000",138,1.24,1.45,0.92,1.93,03/05,0.91,03/31,
06327P A50正2元富08售04,"30,810","12,000",4,2.57,2.57,3.11,3.11,03/09,2.12,03/02,
06328P A50正2元富08售05,"819,310","222,000",26,3.69,3.76,4.10,4.36,03/23,2.78,03/03,
06329P 聯電元富08售08,"8,296,190","3,189,000",168,2.60,2.55,2.13,3.08,03/09,2.13,03/31,
06330P 台積電元富0B售11,"785,750","454,000",41,1.73,1.72,1.73,1.86,03/09,1.61,03/12,
06331P 台積電元富0B售12,"699,570","585,000",25,1.20,1.22,1.22,1.36,03/25,1.13,03/18,
06332P 創意元富0B售02,"3,722,200","2,493,000",138,1.49,1.51,1.50,1.63,03/09,1.30,03/02,
06333P 台灣50台新08售03,"171,860","123,000",5,1.40,1.34,1.15,1.47,03/09,1.15,03/26,
06334P 台積電台新08售01,"3,086,480","2,160,000",36,1.43,1.42,1.47,1.68,03/25,1.25,03/18,
06335P 上証2X凱基08售05,"1,083,520","451,000",34,2.40,2.57,2.59,2.80,03/24,2.08,03/02,
06336P 台積電凱基08售29,"3,041,430","1,438,000",76,2.12,2.13,2.14,2.46,03/25,1.96,03/12,
06337P 台積電凱基08售30,"1,363,390","412,000",26,3.31,3.37,3.06,3.87,03/25,2.97,03/12,
06338P 臺股指凱基09售15,"5,052,220","3,271,000",110,1.54,1.53,1.27,1.84,03/05,1.27,03/30,
06339P 臺股指凱基09售16,"18,170,240","11,655,000",374,1.56,1.61,1.38,1.86,03/05,1.32,03/31,
06340P 聯發科國泰0A售04,"8,101,380","6,036,000",211,1.34,1.43,1.08,1.68,03/10,1.05,03/31,
063414 鴻海凱基03購01,"3,751,640","860,000",126,4.36,5.66,9.15,9.55,03/18,3.41,03/09,
063415 台積電凱基03購01,"330,800","24,000",3,13.78,13.95,14.00,14.00,03/12,13.50,03/05,
063419 聯發科凱基03購01,"1,716,400","303,000",5,5.66,5.48,5.60,5.70,03/03,5.20,03/05,
06341P 國巨群益08售14,"6,262,210","2,182,000",128,2.87,2.78,2.71,3.44,03/09,2.35,03/16,
06342P 聯發科群益08售18,"14,901,220","6,258,000",131,2.38,2.32,1.69,2.77,03/10,1.63,03/31,
06343P 聯詠群益09售03,"5,785,470","3,888,000",195,1.49,1.40,0.90,1.86,03/05,0.87,03/31,
063444 金像電統一03購01,"870,150","1,095,000",28,0.79,0.72,0.57,0.94,03/08,0.55,03/18,
06344P 台積電兆豐09售05,"7,027,830","4,007,000",61,1.75,1.77,1.71,2.04,03/25,1.61,03/12,
06345P 台灣50元大08售09,"12,121,790","5,838,000",155,2.08,2.12,1.90,2.49,03/05,1.82,03/30,
06346P 台灣50元大08售10,"10,762,060","4,403,000",61,2.44,2.43,2.11,2.89,03/05,2.10,03/30,
06347P 台積電元大0C售07,"28,037,000","15,265,000",472,1.84,1.79,1.81,1.99,03/25,1.69,03/12,
06348P 大立光元大08售07,"750,940","458,000",16,1.64,1.62,1.62,1.70,03/25,1.58,03/29,
06349P 聯發科凱基08售21,"7,530,100","4,085,000",153,1.84,1.87,1.44,2.18,03/09,1.41,03/31,
06350P 聯詠凱基08售06,"6,722,320","3,661,000",267,1.84,1.87,1.36,2.33,03/05,1.25,03/31,
06351P 聯詠凱基08售07,"1,532,890","1,768,000",96,0.87,0.72,0.36,1.06,03/05,0.36,03/31,
063521 國巨凱基03購01,"481,570","543,000",23,0.89,0.95,0.41,1.34,03/03,0.41,03/25,
06352P 南電凱基08售05,"13,642,340","10,782,000",352,1.27,1.49,0.99,1.90,03/09,0.97,03/30,
06353P 聯詠元富08售02,"12,743,140","12,962,000",429,0.98,1.10,0.67,1.50,03/05,0.61,03/31,
06354P 南電元富08售04,"4,031,830","3,261,000",239,1.24,1.41,0.81,1.94,03/09,0.80,03/31,
06355P 南電元富08售05,"6,391,230","6,117,000",408,1.04,1.12,0.66,1.50,03/05,0.66,03/31,
06356P 聯電國泰0A售02,"9,556,470","5,209,000",316,1.83,1.78,1.58,2.09,03/09,1.40,03/02,
06357P 南電國泰0A售01,"8,248,780","6,506,000",497,1.27,1.33,0.91,1.71,03/05,0.85,03/31,
06358P 鴻海富邦08售03,"121,900","156,000",6,0.78,0.83,0.62,1.07,03/09,0.62,03/22,
06359P 台灣50中信0A售03,"157,880","116,000",6,1.36,1.47,1.26,1.64,03/09,1.26,03/30,
06360P 祥碩中信08售02,"69,730","100,000",12,0.70,0.70,0.68,0.73,03/15,0.65,03/10,
06361P 臺股指中信0C售05,"2,070,910","2,472,000",150,0.84,0.83,0.69,1.00,03/05,0.67,03/31,
06362P 臺股指麥證08售03,"4,194,730","3,125,000",164,1.34,1.39,1.15,1.73,03/09,1.11,03/30,
06363P 台灣50凱基08售03,"4,798,630","1,889,000",53,2.54,2.60,2.30,2.94,03/09,2.30,03/31,
06364P 台灣50凱基08售04,"4,314,440","1,541,000",54,2.80,2.87,2.57,3.23,03/09,2.55,03/30,
06365P 廣宇凱基08售02,"5,721,330","5,422,000",126,1.06,1.07,0.95,1.33,03/09,0.78,03/23,
06366P 玉晶光凱基08售10,"2,236,140","1,580,000",155,1.42,1.40,1.29,1.52,03/24,1.24,03/30,
06367P 鴻海元大08售15,"8,118,960","9,317,000",71,0.87,1.18,0.98,1.96,03/02,0.70,03/23,
06368P 台積電元大0C售08,"10,888,830","8,766,000",680,1.24,1.24,1.25,1.40,03/05,1.17,03/17,
06369P 旺宏元大08售03,"1,216,410","676,000",74,1.80,1.74,1.54,2.11,03/09,1.50,03/30,
06370P 友達元大08售08,"2,342,630","2,833,000",81,0.83,0.91,0.60,1.08,03/09,0.60,03/31,
06371P 華新科元大08售03,"5,878,970","3,866,000",106,1.52,1.63,1.62,1.83,03/09,1.31,03/16,
06372P 華新科元大08售04,"4,631,610","2,600,000",91,1.78,1.75,1.64,2.15,03/10,1.48,03/16,
06373P 聯詠元大08售05,"9,942,080","5,300,000",229,1.88,1.99,1.32,2.55,03/05,1.24,03/31,
06374P 創意元大08售07,"10,311,930","7,709,000",145,1.34,1.32,1.25,1.51,03/25,1.08,03/02,
06375P 南電元大08售08,"11,450,890","9,039,000",227,1.27,1.41,0.93,1.82,03/05,0.92,03/30,
06376P 南電元大09售01,"4,386,070","4,023,000",91,1.09,1.26,0.86,1.70,03/05,0.84,03/31,
06377P 聯詠康和08售02,"2,691,880","1,334,000",165,2.02,2.32,1.44,3.13,03/05,1.38,03/31,
063784 華通中信06購01,"534,640","1,955,000",33,0.27,0.29,0.24,0.38,03/03,0.24,03/31,
