,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2605   新興,"8,446,116,027","387,045,346","137,331",21.82,21.03,21.90,23.65,03/22,19.30,03/03,66.12
2606   裕民,"9,282,496,964","245,256,300","104,848",37.85,37.38,41.30,41.40,03/31,33.45,03/02,29.02
2607   榮運,"2,007,037,993","111,486,257","39,587",18.00,17.75,18.50,19.35,03/22,16.65,03/02,10.45
2608   嘉里大榮,"163,875,901","3,807,829","3,091",43.04,43.05,44.20,44.25,03/31,41.80,03/19,0.82
2609   陽明,"114,413,765,309","3,755,364,382","994,318",30.47,31.01,37.70,38.00,03/31,25.80,03/05,179.98
2610   華航,"66,180,561,678","4,553,762,014","852,192",14.53,14.54,15.25,16.05,03/22,13.35,03/08,84.00
2611   志信,"1,582,557,464","120,217,976","39,914",13.16,11.89,13.45,15.15,03/22,9.71,03/03,69.49
2612   中航,"1,363,605,917","38,555,118","21,208",35.37,34.51,36.10,37.65,03/22,32.35,03/03,19.52
2613   中櫃,"444,459,249","22,203,261","11,328",20.02,18.90,20.65,21.80,03/29,17.55,03/03,14.96
2615   萬海,"28,529,192,297","556,124,923","234,747",51.30,49.60,55.10,57.80,03/31,44.65,03/02,25.07
2617   台航,"4,597,488,409","199,078,508","66,943",23.09,21.90,24.00,26.00,03/23,19.50,03/03,47.71
2618   長榮航,"22,666,843,234","1,455,750,318","326,271",15.57,15.46,15.70,16.60,03/22,14.55,03/09,29.99
2630   亞航,"18,576,690","1,066,656",738,17.42,17.36,17.55,18.00,03/02,16.75,03/09,0.81
2633   台灣高鐵,"4,548,338,127","147,914,522","59,165",30.75,30.75,31.45,31.50,03/31,30.15,03/05,5.63
2634   漢翔,"1,771,697,476","59,940,585","34,828",29.56,29.36,28.85,30.85,03/02,28.80,03/31,6.36
2636   台驊投控,"4,767,817,478","96,302,121","58,302",49.51,49.87,55.20,56.60,03/22,43.25,03/04,75.73
2637   慧洋-KY,"5,852,076,055","186,396,279","68,657",31.40,30.48,35.80,35.95,03/31,27.00,03/02,24.97
2642   宅配通,"793,184,484","24,452,072","6,446",32.44,33.72,34.80,35.15,03/29,32.30,03/02,25.61
5607   遠雄港,"333,237,321","11,614,462","5,887",28.69,28.41,29.40,29.80,03/29,27.90,03/25,5.05
5608   四維航,"5,286,281,571","334,650,233","110,286",15.80,14.51,18.00,20.20,03/23,11.00,03/03,119.83
8367   建新國際,"114,210,810","3,755,350","1,942",30.41,30.34,31.10,31.50,03/22,28.90,03/02,4.63
16 觀光事業類,,,,,,,,,,,
Tourism,,,,,,,,,,,
2701   萬企,"40,109,855","3,352,686","1,644",11.96,12.00,12.10,12.20,03/16,11.80,03/26,0.75
2702   華園,"49,649,665","2,783,014","2,001",17.84,17.47,17.55,18.95,03/23,16.65,03/08,2.52
2704   國賓,"142,273,950","4,720,554","6,698",30.14,29.72,29.45,31.50,03/09,28.80,03/24,1.29
2705   六福,"112,069,716","5,268,182","6,198",21.27,21.10,20.15,22.30,03/04,20.00,03/31,2.82
2706   第一店,"40,838,034","2,923,639","2,185",13.97,13.97,14.00,14.15,03/23,13.70,03/04,0.58
2707   晶華,"2,278,801,799","14,714,301","12,664",154.87,154.89,156.00,162.00,03/23,145.50,03/03,11.55
2712   遠雄來,"52,242,896","1,362,504","1,063",38.34,38.38,38.90,40.95,03/02,37.00,03/04,1.30
2722   夏都,"39,024,665","1,290,987",747,30.23,30.10,30.00,31.50,03/02,29.50,03/29,1.16
2723   美食-KY,"7,829,544,025","47,621,265","35,892",164.41,162.25,174.50,180.50,03/31,152.00,03/02,26.46
2727   王品,"9,394,998,341","54,165,517","48,542",173.45,174.73,183.50,193.50,03/16,154.50,03/03,70.36
2731   雄獅,"3,443,888,312","35,050,230","27,274",98.26,97.20,94.00,106.00,03/10,88.00,03/03,50.07
2739   寒舍,"72,834,241","2,797,910","1,787",26.03,25.83,26.20,27.40,03/22,24.50,03/03,2.51
2748   雲品,"70,786,105","1,609,086","1,427",43.99,44.00,44.00,44.75,03/17,42.50,03/09,2.13
5706   鳳凰,"1,502,481,582","34,991,215","23,957",42.94,42.47,41.70,47.00,03/18,37.50,03/03,52.13
8462   柏文,"548,304,619","3,283,151","6,081",167.01,162.77,165.50,181.00,03/17,153.50,03/11,4.45
8940   新天地,"37,956,965","3,123,932","2,966",12.15,12.08,12.90,13.50,03/31,10.85,03/03,4.63
9943   好樂迪,"238,628,950","3,637,170","3,474",65.61,65.42,67.30,67.50,03/31,63.50,03/03,2.47
17 金融保險類,,,,,,,,,,,
Finance and Insurance,,,,,,,,,,,
2801   彰銀,"2,875,278,574","166,387,378","44,133",17.28,17.29,17.55,17.60,03/30,16.95,03/05,1.60
2809   京城銀,"1,393,777,951","35,712,774","19,171",39.03,39.04,39.40,39.55,03/09,38.60,03/05,3.19
2812   台中銀,"1,965,268,805","173,295,827","56,486",11.34,11.36,11.50,11.55,03/10,11.10,03/05,4.17
2816   旺旺保,"362,830,480","17,218,957","6,975",21.07,21.05,20.60,22.20,03/26,20.05,03/02,7.70
2820   華票,"503,012,594","32,506,273","12,912",15.47,15.48,15.60,15.70,03/22,15.15,03/04,2.42
2823   中壽,"5,952,074,710","246,264,101","79,386",24.17,24.26,25.75,25.80,03/31,22.65,03/05,5.20
2832   台產,"195,379,427","9,072,608","5,397",21.54,21.58,22.40,22.45,03/31,20.50,03/04,2.50
2834   臺企銀,"3,652,159,236","374,529,121","92,750",9.75,9.74,9.96,10.10,03/30,9.40,03/04,5.00
2836   高雄銀,"181,929,489","17,956,606","6,247",10.13,10.12,10.45,10.55,03/31,9.82,03/04,1.59
2836A  高雄銀甲特,"9,187,960","399,148",336,23.02,22.99,23.30,23.40,03/31,22.40,03/02,1.00
2838   聯邦銀,"342,274,395","31,686,099","10,781",10.80,10.80,10.95,10.95,03/31,10.60,03/05,1.02
2838A  聯邦銀甲特,"115,659,971","2,187,674",642,52.87,52.99,53.20,53.30,03/16,52.30,03/03,1.09
2845   遠東銀,"917,863,164","85,758,118","22,627",10.70,10.72,10.70,10.90,03/16,10.50,03/19,2.49
2849   安泰銀,"64,195,036","4,270,114","2,099",15.03,15.05,15.50,15.95,03/31,14.60,03/04,0.28
2850   新產,"196,143,271","4,994,571","3,212",39.27,39.28,40.00,40.10,03/12,38.10,03/03,1.58
2851   中再保,"379,548,239","15,838,564","8,629",23.96,24.04,23.80,24.70,03/08,23.00,03/02,2.68
2852   第一保,"132,430,703","9,870,979","3,858",13.42,13.46,13.25,13.85,03/26,12.90,03/02,3.28
2855   統一證,"2,684,572,616","124,710,911","36,296",21.53,21.05,23.50,23.50,03/31,20.05,03/10,8.91
2867   三商壽,"838,399,744","97,449,618","24,716",8.60,8.58,8.87,8.88,03/31,8.33,03/02,3.89
2880   華南金,"5,286,185,091","289,087,008","103,559",18.29,18.30,18.65,18.70,03/31,17.95,03/05,2.25
2881   富邦金,"39,848,679,555","734,168,654","235,953",54.28,54.05,56.80,57.80,03/31,50.00,03/05,7.17
2881A  富邦特,"1,433,226,241","23,117,569","2,356",62.00,62.04,62.00,62.40,03/12,61.90,03/31,3.85
2881B  富邦金乙特,"82,619,118","1,332,301",661,62.01,62.14,62.20,62.40,03/08,61.50,03/15,0.20
2882   國泰金,"46,648,248,348","1,024,387,786","308,917",45.54,45.41,47.95,48.50,03/31,41.85,03/05,7.78
2882A  國泰特,"333,220,632","5,397,075","1,285",61.74,61.81,61.80,62.10,03/02,61.60,03/31,0.65
2882B  國泰金乙特,"42,510,493","684,938",554,62.06,62.20,62.30,62.40,03/05,61.90,03/31,0.10
2883   開發金,"17,634,034,309","1,761,600,013","270,810",10.01,9.98,10.50,10.75,03/26,9.27,03/03,11.76
2884   玉山金,"15,119,530,735","586,182,086","190,236",25.79,25.83,26.10,26.30,03/29,24.90,03/05,4.66
2885   元大金,"11,450,471,198","524,640,038","128,364",21.83,21.83,22.50,22.75,03/31,20.85,03/05,4.32
2886   兆豐金,"16,557,514,594","538,374,176","193,127",30.75,30.92,31.90,31.90,03/31,29.30,03/04,3.96
2887   台新金,"4,435,785,911","336,092,348","75,962",13.20,13.21,13.40,13.45,03/31,12.90,03/05,3.08
2887E  台新戊特,"119,915,099","2,264,647",775,52.95,53.00,53.10,53.20,03/31,52.30,03/09,0.45
2887F  台新戊特二,"54,571,411","1,053,388",862,51.81,51.87,51.80,52.30,03/19,51.50,03/04,0.35
2888   新光金,"14,798,170,755","1,689,892,208","225,149",8.76,8.72,9.15,9.15,03/31,8.22,03/05,12.98
2888A  新光金甲特,"38,265,389","883,900",758,43.29,43.32,43.45,43.65,03/26,42.70,03/02,1.18
2888B  新光金乙特,"170,580,730","4,072,073","2,010",41.89,41.90,41.90,42.10,03/18,41.30,03/02,1.83
2889   國票金,"4,012,116,972","262,262,727","85,266",15.30,15.14,16.90,16.90,03/31,13.70,03/05,9.05
2890   永豐金,"7,309,422,915","600,297,109","114,127",12.18,12.20,12.85,12.85,03/31,11.65,03/05,5.33
2891   中信金,"22,449,518,786","1,054,573,658","248,140",21.29,21.30,22.10,22.10,03/31,20.05,03/05,5.41
2891B  中信金乙特,"18,073,445","285,101",444,63.39,63.55,63.50,63.70,03/16,62.80,03/22,0.09
2891C  中信金丙特,"21,839,832","354,457",455,61.61,61.72,61.80,61.90,03/12,61.30,03/25,0.21
2892   第一金,"9,597,010,521","442,869,019","133,539",21.67,21.72,22.20,22.30,03/31,20.90,03/05,3.45
2897   王道銀行,"375,365,884","54,042,107","12,554",6.95,6.95,7.00,7.05,03/16,6.83,03/24,1.98
2897A  王道銀甲特,"16,569,422","1,630,046",502,10.17,10.18,10.15,10.25,03/18,10.10,03/23,0.54
5876   上海商銀,"4,887,525,081","120,328,418","44,483",40.62,40.68,41.95,42.00,03/31,39.05,03/05,2.68
5880   合庫金,"6,518,242,490","317,605,478","93,827",20.52,20.54,21.15,21.20,03/31,19.95,03/05,2.38
6005   群益證,"4,020,923,770","272,610,114","56,824",14.75,14.63,15.60,15.60,03/31,13.90,03/02,12.56
6024   群益期,"327,098,281","8,198,454","6,528",39.90,39.21,41.55,41.95,03/30,38.10,03/03,3.90
18 貿易百貨類,,,,,,,,,,,
Trading and Consumers' Goods,,,,,,,,,,,
1432   大魯閣,"144,201,043","9,290,447","5,162",15.52,15.18,15.30,16.85,03/16,14.25,03/11,12.39
2601   益航,"3,058,545,665","277,446,529","73,714",11.02,10.58,10.80,12.15,03/22,9.92,03/03,40.40
2614   東森,"863,296,622","50,420,754","18,356",17.12,17.03,17.05,17.50,03/17,16.70,03/05,9.06
2901   欣欣,"166,385,115","5,832,474","3,602",28.53,27.64,33.65,34.00,03/31,23.75,03/08,7.98
2903   遠百,"491,868,539","21,308,461","10,756",23.08,23.13,24.00,24.00,03/31,22.45,03/02,1.50
2905   三商,"249,850,926","11,962,594","6,746",20.89,20.85,21.10,21.35,03/31,20.50,03/22,1.32
2906   高林,"489,744,436","29,744,793","10,334",16.46,15.82,16.35,17.95,03/17,15.00,03/10,14.22
2908   特力,"83,043,334","3,166,399","1,886",26.23,26.28,26.10,26.80,03/18,25.45,03/02,0.62
