,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
5607   遠雄港,"487,675,157","17,646,811","8,771",27.64,27.43,26.30,29.95,01/04,25.70,01/22,7.67
5608   四維航,"1,802,741,313","157,069,115","44,232",11.48,11.18,9.81,13.50,01/04,9.56,01/20,56.24
8367   建新國際,"458,644,576","14,481,652","7,721",31.67,30.01,27.80,34.00,01/11,27.20,01/21,17.85
16 觀光事業類,,,,,,,,,,,
Tourism,,,,,,,,,,,
2701   萬企,"26,316,363","2,201,446",980,11.95,11.97,11.75,12.45,01/04,11.75,01/29,0.49
2702   華園,"32,181,916","2,036,657","1,122",15.80,16.11,15.00,17.25,01/08,14.80,01/25,1.84
2704   國賓,"143,235,039","4,737,497","2,385",30.23,30.18,29.10,30.90,01/14,29.10,01/29,1.29
2705   六福,"156,899,942","7,776,336","4,990",20.18,20.07,19.90,21.85,01/04,18.90,01/29,4.17
2706   第一店,"35,827,631","2,660,669","1,819",13.47,13.74,13.45,14.15,01/04,13.35,01/29,0.53
2707   晶華,"786,391,556","6,041,351","6,182",130.17,130.65,128.50,135.00,01/04,126.00,01/25,4.74
2712   遠雄來,"8,696,737","197,675",207,44.00,45.14,42.30,51.50,01/04,38.30,01/28,0.19
2722   夏都,"20,865,307","791,921",615,26.35,25.98,28.00,28.90,01/04,24.25,01/25,0.71
2723   美食-KY,"3,134,331,458","22,156,395","17,607",141.46,140.30,127.50,155.00,01/08,125.50,01/29,12.31
2727   王品,"4,398,456,967","34,632,182","29,056",127.00,126.18,114.00,144.00,01/11,110.50,01/26,44.98
2731   雄獅,"216,519,182","3,015,974","2,649",71.79,71.74,71.50,75.20,01/04,69.50,01/25,4.31
2739   寒舍,"23,938,618","1,033,422",758,23.16,23.19,22.65,24.65,01/04,22.00,01/25,0.93
2748   雲品,"54,051,545","1,346,538","1,239",40.14,40.09,39.15,41.75,01/04,38.80,01/22,1.78
5706   鳳凰,"67,522,864","2,229,696","1,704",30.28,30.20,29.60,31.55,01/04,29.00,01/25,3.32
8462   柏文,"357,254,619","2,458,720","6,690",145.30,145.68,136.00,160.00,01/04,133.50,01/27,3.33
8940   新天地,"13,973,795","1,320,862","2,147",10.58,10.51,10.05,11.45,01/07,9.98,01/20,1.96
9943   好樂迪,"172,186,362","2,780,007","2,529",61.94,62.04,61.00,63.70,01/04,60.30,01/21,1.89
17 金融保險類,,,,,,,,,,,
Finance and Insurance,,,,,,,,,,,
2801   彰銀,"2,660,995,001","153,302,650","47,745",17.36,17.44,16.55,17.95,01/13,16.55,01/29,1.48
2809   京城銀,"1,366,937,436","34,764,051","18,268",39.32,39.20,37.95,41.50,01/11,37.90,01/29,3.10
2812   台中銀,"1,276,878,156","118,006,628","41,781",10.82,10.81,10.65,11.00,01/14,10.65,01/29,2.84
2816   旺旺保,"91,251,029","4,415,633","2,191",20.67,20.59,19.65,21.50,01/04,19.65,01/29,1.97
2820   華票,"200,508,403","13,518,224","6,862",14.83,14.84,14.65,15.00,01/14,14.65,01/29,1.01
2823   中壽,"8,238,959,701","364,211,216","92,141",22.62,22.58,22.70,23.00,01/11,22.05,01/05,7.70
2832   台產,"171,238,208","8,341,875","4,978",20.53,20.27,20.00,21.50,01/25,19.95,01/29,2.30
2834   臺企銀,"2,939,799,079","310,035,160","90,878",9.48,9.49,9.10,9.80,01/11,9.10,01/29,4.14
2836   高雄銀,"226,550,980","22,223,241","7,875",10.19,10.05,9.59,10.70,01/12,9.54,01/22,1.97
2836A  高雄銀甲特,"30,045,931","1,294,094",881,23.22,23.05,22.70,24.60,01/15,22.70,01/29,3.24
2838   聯邦銀,"285,946,809","26,831,977","8,875",10.66,10.64,10.30,11.00,01/11,10.30,01/29,0.87
2838A  聯邦銀甲特,"98,861,703","1,909,821",797,51.76,51.90,51.50,52.20,01/21,51.50,01/29,0.95
2845   遠東銀,"715,929,799","67,876,868","19,157",10.55,10.55,10.25,10.90,01/11,10.20,01/29,1.97
2849   安泰銀,"53,931,125","3,627,839","1,830",14.87,15.09,13.70,16.35,01/05,13.70,01/29,0.24
