,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3376   新日興,"2,908,847,150","22,218,871","15,683",130.92,129.93,125.00,138.00,01/14,125.00,01/29,11.58
3432   台端,"243,405,670","16,815,430","6,273",14.48,13.31,12.35,16.30,01/08,12.10,01/25,25.25
3501   維熹,"484,184,082","9,219,022","6,824",52.52,51.97,50.60,55.10,01/15,50.40,01/22,7.80
3533   嘉澤,"12,494,580,730","23,428,866","23,483",533.30,534.25,519.00,583.00,01/11,476.00,01/04,22.64
3550   聯穎,"76,368,517","5,158,987","2,820",14.80,14.59,13.90,15.50,01/12,13.65,01/29,6.07
3593   力銘,"14,831,916","1,215,457",930,12.20,12.15,11.70,12.95,01/04,11.45,01/26,1.93
3605   宏致,"5,145,902,627","115,738,973","67,115",44.46,43.46,40.40,48.85,01/05,40.10,01/29,94.56
3607   谷崧,"275,731,783","18,661,432","7,717",14.78,14.10,13.05,16.65,01/04,12.85,01/28,15.34
3645   達邁,"978,044,215","18,650,141","12,078",52.44,51.88,47.15,57.30,01/04,46.70,01/29,14.27
3653   健策,"18,813,765,382","62,582,128","52,416",300.63,298.27,293.50,328.00,01/19,248.00,01/04,51.71
3679   新至陞,"383,320,116","3,605,876","3,119",106.30,105.82,103.00,111.00,01/11,101.00,01/18,5.77
4545   銘鈺,"110,471,812","3,654,869","2,340",30.23,30.03,29.65,32.80,01/19,28.30,01/06,4.75
4912   聯德控股-KY,"2,277,592,344","17,224,711","12,179",132.23,129.57,143.00,147.00,01/29,110.50,01/04,34.07
4915   致伸,"12,790,121,407","241,026,730","136,704",53.07,51.96,55.70,58.40,01/29,47.40,01/12,53.45
4927   泰鼎-KY,"4,480,415,354","64,872,492","38,736",69.06,68.78,68.80,72.80,01/27,66.10,01/08,34.15
4943   康控-KY,"2,012,632,260","24,314,857","19,376",82.77,80.99,75.30,93.90,01/05,73.40,01/21,15.47
4958   臻鼎-KY,"25,317,784,449","212,965,286","120,586",118.88,118.18,114.00,124.50,01/06,112.00,01/20,22.49
4989   榮科,"368,638,364","15,925,527","8,554",23.15,22.96,22.65,25.15,01/06,20.70,01/18,10.40
4999   鑫禾,"748,771,704","14,695,555","9,181",50.95,50.00,50.80,53.60,01/12,46.70,01/08,19.75
5469   瀚宇博,"3,568,581,394","82,534,351","40,285",43.24,42.93,41.30,45.00,01/15,41.05,01/21,15.62
6108   競國,"583,460,377","26,230,331","12,720",22.24,21.51,20.95,23.55,01/20,20.55,01/04,16.40
6115   鎰勝,"159,396,240","3,804,307","2,767",41.90,41.94,41.85,42.30,01/14,41.40,01/20,2.03
6133   金橋,"121,355,824","12,488,780","3,421",9.72,9.18,8.60,10.40,01/11,8.60,01/29,10.67
6141   柏承,"2,112,321,277","67,760,626","33,638",31.17,30.24,27.70,34.25,01/07,27.65,01/29,52.56
6153   嘉聯益,"12,918,316,843","348,964,662","171,422",37.02,35.79,32.45,41.35,01/15,32.30,01/29,62.74
6155   鈞寶,"540,009,269","20,158,402","11,827",26.79,25.94,24.20,28.25,01/13,24.10,01/29,23.21
6165   捷泰,"664,004,953","16,576,566","11,264",40.06,39.77,38.60,43.00,01/04,37.30,01/18,33.37
6191   精成科,"5,396,756,350","211,692,238","87,493",25.49,25.17,23.65,27.20,01/15,23.20,01/25,41.06
6197   佳必琪,"846,598,355","22,393,343","14,342",37.81,37.41,36.50,39.45,01/15,35.85,01/28,18.34
6205   詮欣,"2,152,829,193","45,025,621","24,927",47.81,43.19,40.05,55.00,01/05,39.80,01/29,62.68
6213   聯茂,"7,579,961,511","53,530,740","31,719",141.60,141.12,134.00,148.00,01/15,134.00,01/29,16.08
6224   聚鼎,"4,672,377,029","44,054,869","31,202",106.06,103.29,99.40,120.00,01/14,95.00,01/06,52.01
6251   定穎,"2,279,404,412","113,512,812","49,719",20.08,19.72,19.20,22.95,01/18,18.70,01/21,40.90
6269   台郡,"13,590,394,290","111,872,135","68,947",121.48,121.12,119.00,126.00,01/06,113.50,01/20,30.95
6282   康舒,"5,535,485,234","186,478,051","86,389",29.68,29.11,28.20,31.35,01/07,27.80,01/21,36.10
6412   群電,"815,767,000","11,543,796","6,654",70.67,70.62,70.00,73.60,01/27,68.70,01/25,2.97
6449   鈺邦,"2,152,039,330","37,166,170","24,313",57.90,55.83,51.40,62.50,01/12,51.10,01/29,43.97
6672   騰輝電子-KY,"3,339,289,818","43,867,302","28,231",76.12,71.26,79.70,83.90,01/29,62.50,01/20,61.39
6715   嘉基,"217,489,145","1,758,207","1,413",123.70,123.52,117.00,129.00,01/12,116.00,01/29,3.08
8039   台虹,"1,213,144,108","22,340,095","14,239",54.30,53.87,51.80,56.60,01/15,51.60,01/22,10.68
8046   南電,"82,301,451,575","368,421,389","248,963",223.39,223.75,226.00,258.00,01/25,185.00,01/04,57.02
8103   瀚荃,"1,110,846,093","31,307,365","16,354",35.48,34.61,32.75,37.40,01/13,32.70,01/29,39.65
8213   志超,"3,816,683,393","82,053,944","41,411",46.51,45.48,44.90,49.95,01/19,44.00,01/04,30.25
8249   菱光,"113,652,429","5,861,884","3,303",19.39,19.29,18.80,20.10,01/06,18.75,01/29,4.61
29 電子通路業類,,,,,,,,,,,
Electronic Products Distribution,,,,,,,,,,,
2347   聯強,"3,441,420,053","73,295,267","37,748",46.95,46.97,45.20,48.00,01/15,45.10,01/29,4.39
2414   精技,"113,183,634","4,404,530","2,904",25.70,25.66,25.30,26.35,01/12,25.30,01/29,2.72
2430   燦坤,"108,943,910","5,379,642","4,504",20.25,19.99,19.60,21.30,01/04,19.25,01/21,3.23
2459   敦吉,"113,004,368","2,465,791","1,918",45.83,45.78,45.05,46.75,01/06,44.80,01/20,2.34
3010   華立,"3,357,573,922","42,911,053","27,862",78.24,75.96,75.10,83.00,01/26,72.50,01/18,18.54
3028   增你強,"504,976,833","22,015,758","9,810",22.94,22.37,22.10,24.25,01/13,21.80,01/06,10.30
3033   威健,"389,519,938","20,748,666","9,788",18.77,18.72,18.15,19.50,01/05,18.10,01/28,5.64
3036   文曄,"1,228,138,117","29,512,061","14,720",41.61,41.40,40.55,43.25,01/14,40.35,01/20,3.74
3036A  文曄甲特,"100,092,123","2,077,625","1,139",48.18,48.18,47.95,48.40,01/06,47.95,01/29,1.54
3048   益登,"1,423,219,045","59,246,070","26,038",24.02,23.53,22.45,25.90,01/08,22.40,01/29,26.62
3055   蔚華科,"235,575,196","7,436,814","6,095",31.68,31.39,29.15,34.00,01/11,29.15,01/29,7.26
3209   全科,"385,511,293","17,018,210","8,022",22.65,22.60,22.10,23.40,01/06,21.95,01/25,9.00
3312   弘憶股,"169,347,065","11,547,499","5,206",14.67,14.52,14.40,15.25,01/25,14.20,01/06,9.23
3528   安馳,"41,914,676","1,003,915",836,41.75,41.86,40.90,43.20,01/04,40.90,01/29,1.53
3702   大聯大,"4,508,714,392","103,095,398","56,980",43.73,43.57,43.00,46.50,01/26,42.50,01/06,6.14
3702A  大聯大甲特,"104,483,652","2,091,040","1,005",49.97,49.97,49.80,50.20,01/08,49.80,01/29,1.05
5434   崇越,"2,182,380,224","17,826,501","14,469",122.42,121.18,118.50,129.00,01/25,118.50,01/29,9.81
6189   豐藝,"191,493,411","5,438,559","3,897",35.21,35.16,34.60,35.75,01/12,34.60,01/29,3.04
6281   全國電,"97,253,891","1,325,565","1,246",73.37,73.36,72.40,75.00,01/15,72.30,01/29,1.34
8070   長華*,"4,942,461,406","156,808,381","79,767",31.52,30.97,30.00,33.75,01/06,27.90,01/18,24.55
8072   陞泰,"94,441,339","3,185,944","2,281",29.64,28.43,27.55,31.90,01/13,27.30,01/28,3.98
8112   至上,"4,245,132,071","119,397,881","56,445",35.55,35.23,34.85,37.45,01/26,33.70,01/06,31.55
30 資訊服務業類,,,,,,,,,,,
Information Service,,,,,,,,,,,
2427   三商電,"66,433,410","5,795,263","1,880",11.46,11.47,11.35,11.90,01/04,11.00,01/20,3.14
2453   凌群,"158,418,896","8,945,756","3,937",17.71,17.34,16.90,18.40,01/08,16.60,01/25,8.95
2468   華經,"40,363,116","3,071,723","1,068",13.14,13.20,12.85,13.85,01/04,12.75,01/25,4.39
2471   資通,"1,232,303,892","43,089,332","23,044",28.60,26.89,26.00,31.50,01/20,25.30,01/18,91.19
2480   敦陽科,"489,483,614","7,236,493","6,140",67.64,67.31,66.50,70.00,01/19,66.00,01/28,6.80
3029   零壹,"1,482,528,640","37,375,110","22,578",39.67,38.80,37.70,42.40,01/18,37.60,01/29,29.84
3130   一零四,"12,257,174","79,506",251,154.17,154.44,157.00,158.50,01/04,151.00,01/18,0.24
4994   傳奇,"196,078,757","2,597,943","2,093",75.47,74.83,71.90,79.20,01/05,71.10,01/15,2.35
5203   訊連,"719,497,257","6,713,384","4,697",107.17,105.35,103.00,113.00,01/08,101.50,01/25,8.14
6112   聚碩,"474,334,443","10,812,955","8,668",43.87,43.84,43.25,44.45,01/19,43.15,01/29,8.84
6183   關貿,"79,535,879","1,663,162","1,606",47.82,47.52,46.35,50.50,01/04,46.20,01/29,1.11
6214   精誠,"1,004,582,901","11,687,650","9,432",85.95,85.99,83.90,88.10,01/04,83.80,01/29,4.34
31 其他電子業類,,,,,,,,,,,
Other Electronic,,,,,,,,,,,
2312   金寶,"6,572,472,310","513,856,432","126,376",12.79,12.43,11.90,14.05,01/20,11.90,01/29,35.04
2317   鴻海,"334,680,946,100","2,992,524,419","1,477,565",111.84,112.67,111.50,125.00,01/26,93.30,01/04,21.59
2354   鴻準,"53,735,914,849","745,856,521","385,876",72.05,69.35,74.80,79.40,01/14,53.90,01/04,52.73
2359   所羅門,"169,118,167","9,122,961","4,841",18.54,18.30,17.60,19.70,01/06,17.45,01/29,5.32
2360   致茂,"10,205,238,331","51,291,862","39,164",198.96,194.70,189.00,230.00,01/26,167.00,01/04,12.17
2373   震旦行,"62,599,155","716,229",873,87.40,87.50,85.80,89.60,01/15,85.30,01/29,0.30
2390   云辰,"666,485,070","47,013,964","18,960",14.18,13.87,12.65,15.10,01/13,12.65,01/29,21.97
2404   漢唐,"11,936,416,113","50,163,875","45,515",237.95,233.18,239.00,258.50,01/22,215.00,01/06,26.32
2423   固緯,"107,364,134","4,507,307","2,903",23.82,23.77,23.05,24.50,01/15,23.00,01/26,3.11
2433   互盛電,"74,003,455","1,465,162","1,175",50.51,50.50,49.90,51.70,01/04,49.70,01/25,1.01
2461   光群雷,"338,942,575","19,039,316","8,179",17.80,17.31,16.40,20.00,01/04,16.00,01/28,11.95
2464   盟立,"2,687,050,275","59,300,072","36,921",45.31,43.98,41.15,48.65,01/05,41.00,01/29,30.33
2474   可成,"21,401,150,803","103,410,179","71,750",206.95,206.08,198.00,218.00,01/14,198.00,01/29,13.58
2477   美隆電,"505,231,362","14,925,608","9,177",33.85,33.02,29.10,37.30,01/11,28.80,01/26,7.53
2482   連宇,"45,955,643","4,271,088","2,884",10.76,10.65,10.45,11.50,01/05,10.35,01/28,6.88
2488   漢平,"100,420,236","3,318,089","2,321",30.26,30.11,29.05,31.45,01/04,28.90,01/29,4.15
2495   普安,"81,138,185","6,538,529","2,333",12.41,12.38,12.00,13.00,01/06,11.90,01/29,2.39
3018   同開,"74,342,629","4,449,457","5,296",16.71,16.77,15.25,18.25,01/04,15.20,01/29,6.08
3030   德律,"847,334,683","14,983,686","9,242",56.55,56.32,55.50,58.60,01/04,54.80,01/21,6.34
3043   科風,"43,727,355","9,878,094","2,614",4.43,4.41,3.95,5.29,01/07,3.81,01/29,5.07
3305   昇貿,"1,167,344,813","39,530,093","21,600",29.53,28.69,28.70,32.30,01/19,26.65,01/06,33.42
3450   聯鈞,"2,500,199,479","37,159,196","26,370",67.28,66.26,60.50,71.40,01/05,60.10,01/29,25.51
3518   柏騰,"127,204,996","3,863,198","2,512",32.93,32.04,29.50,35.80,01/11,29.50,01/29,4.78
3617   碩天,"150,556,337","1,789,911","1,496",84.11,83.52,79.50,90.00,01/04,78.60,01/25,2.21
3665   貿聯-KY,"25,101,744,044","88,043,478","71,879",285.11,281.12,310.50,325.00,01/27,246.00,01/04,67.43
5225   東科-KY,"35,724,818","1,344,435",901,26.57,26.32,25.60,28.00,01/06,25.00,01/25,2.19
6139   亞翔,"2,219,613,366","68,311,509","35,471",32.49,31.51,29.35,34.80,01/15,29.30,01/29,30.29
6192   巨路,"174,758,301","2,608,642","2,288",66.99,66.90,65.10,69.60,01/04,65.00,01/29,2.44
6196   帆宣,"14,193,722,555","115,466,329","81,716",122.93,119.08,113.50,134.50,01/22,112.50,01/29,61.70
6201   亞弘電,"222,740,194","5,341,995","3,483",41.70,40.21,39.60,46.15,01/14,37.90,01/08,5.99
6215   和椿,"1,089,850,878","57,771,328","26,384",18.86,17.45,18.25,20.60,01/27,15.55,01/18,69.78
6283   淳安,"8,095,652,307","178,217,692","92,037",45.43,42.71,37.60,51.70,01/11,37.30,01/29,132.95
6409   旭隼,"6,583,635,835","5,360,074","5,228","1,228.27","1,229.75","1,280.00","1,405.00",01/27,"1,040.00",01/07,6.13
6438   迅得,"2,263,455,363","25,773,609","17,284",87.82,84.99,83.10,92.90,01/19,82.50,01/28,42.74
6558   興能高,"726,588,276","15,078,900","10,842",48.19,47.52,44.80,52.90,01/04,44.05,01/21,17.36
6698   旭暉應材,"1,786,045,043","36,173,064","22,988",49.38,46.12,41.05,53.40,01/11,41.00,01/28,54.49
6743   安普新,"3,138,019,655","24,091,868","17,703",130.25,124.42,133.00,148.00,01/28,116.00,01/11,19.75
8021   尖點,"2,461,543,364","85,639,617","44,499",28.74,28.26,26.65,30.40,01/15,26.65,01/29,60.23
8201   無敵,"14,357,928","1,484,926",778,9.67,9.56,9.15,10.25,01/11,9.00,01/20,2.38
20 其他類,,,,,,,,,,,
Others,,,,,,,,,,,
1342   八貫,"125,281,284","2,149,778","1,630",58.28,57.64,55.70,61.30,01/12,55.00,01/28,3.17
1416   廣豐,"81,533,943","7,341,050","4,780",11.11,11.23,10.80,12.00,01/04,10.70,01/28,3.96
1435   中福,"204,900,801","7,298,277","4,357",28.08,28.30,27.35,31.25,01/08,22.95,01/04,5.22
1437   勤益控,"178,875,038","7,369,116","3,182",24.27,24.03,22.75,25.50,01/11,22.75,01/29,3.62
1516   川飛,"73,641,186","3,033,008","1,872",24.28,23.38,22.05,26.75,01/04,21.50,01/22,8.82
2062   橋椿,"90,333,166","3,756,158","2,283",24.05,23.88,22.15,25.25,01/11,22.15,01/29,2.30
2348   海悅,"657,643,524","7,606,704","5,696",86.46,86.18,86.80,89.90,01/06,83.00,01/21,7.86
2358   廷鑫,"70,439,227","4,915,697","2,140",14.33,14.08,12.90,15.30,01/06,12.80,01/28,6.17
2443   億麗,"14,231,940","5,997,455","1,486",2.37,2.69,2.07,3.07,01/04,1.89,01/29,4.12
2496   卓越,"27,727,092","505,039",413,54.90,54.29,52.00,57.50,01/05,51.60,01/28,2.63
2514   龍邦,"61,857,556","4,328,883","2,040",14.29,14.28,13.95,14.70,01/04,13.95,01/29,1.10
2904   匯僑,"51,603,029","1,953,579","1,581",26.41,26.42,26.00,27.35,01/11,25.30,01/21,2.83
3040   遠見,"311,225,386","7,989,164","5,073",38.96,38.69,39.40,40.40,01/26,37.10,01/06,12.68
3557   嘉威,"973,239,439","10,610,721","8,178",91.72,91.73,87.30,104.00,01/07,81.00,01/18,14.68
4536   拓凱,"583,860,083","3,811,308","3,359",153.19,153.07,140.50,161.50,01/12,140.50,01/29,4.20
5284   jpp-KY,"12,601,056","360,397",280,34.96,35.01,35.10,37.00,01/19,34.20,01/25,0.83
5871   中租-KY,"10,041,540,418","60,434,259","40,119",166.16,166.85,155.00,175.50,01/14,154.00,01/29,4.38
5871A  中租-KY甲特,"399,702,242","4,015,689","1,777",99.54,99.51,99.50,99.90,01/08,99.30,01/29,2.68
6184   大豐電,"98,512,034","2,303,868","1,604",42.76,42.80,42.25,43.40,01/19,42.25,01/29,1.46
6464   台數科,"65,588,318","583,802",502,112.35,111.32,107.00,116.50,01/06,107.00,01/29,0.47
6504   南六,"3,579,938,724","19,646,931","17,234",182.21,178.85,174.50,194.00,01/25,171.00,01/11,27.06
6581   鋼聯,"174,092,511","2,352,717","1,628",74.00,72.93,68.60,80.00,01/11,68.50,01/29,2.11
6592   和潤企業,"4,662,765,578","57,521,931","15,468",81.06,80.89,79.40,83.80,01/15,79.30,01/29,11.17
6625   必應,"16,362,596","542,842",613,30.14,29.96,27.70,32.25,01/04,27.30,01/26,1.21
6641   基士德-KY,"39,049,180","591,781",502,65.99,65.10,63.00,67.90,01/06,63.00,01/29,1.74
6655   科定,"34,434,434","706,455",380,48.74,48.54,48.65,51.00,01/04,47.10,01/25,0.93
6670   復盛應用,"756,757,202","4,484,017","3,544",168.77,169.12,169.00,176.00,01/06,162.50,01/20,3.42
6671   三能-KY,"50,860,950","1,280,100",583,39.73,39.76,39.95,41.90,01/04,39.00,01/18,2.11
6754   匯僑設計,"39,279,089","993,935",717,39.52,39.62,39.00,41.25,01/06,38.20,01/20,1.51
8033   雷虎,"1,880,078,832","105,959,227","42,240",17.74,16.72,21.90,21.90,01/29,14.00,01/06,96.84
8341   日友,"639,282,594","2,830,258","8,936",225.87,226.08,217.50,236.00,01/05,216.00,01/29,2.54
8404   百和興業-KY,"119,153,485","4,194,659","2,410",28.41,28.47,26.60,29.85,01/04,26.60,01/29,1.33
8411   福貞-KY,"27,808,081","2,008,034","2,089",13.85,13.86,13.50,14.50,01/05,13.20,01/29,1.14
8422   可寧衛,"699,230,886","4,331,245","5,210",161.44,161.95,159.00,164.50,01/11,158.00,01/28,3.98
8427   基勝-KY,"9,293,864","233,833",195,39.75,40.15,35.50,47.10,01/04,35.05,01/28,0.22
8442   威宏-KY,"8,967,754","192,720",155,46.53,46.52,45.40,47.95,01/15,44.40,01/22,0.32
8463   潤泰材,"123,366,342","3,343,301","1,936",36.90,36.79,34.80,39.50,01/05,33.90,01/28,2.23
8464   億豐,"7,566,073,482","20,927,266","17,376",361.54,352.82,370.00,393.00,01/27,318.50,01/04,7.14
8466   美?-KY,"32,437,097","520,670",377,62.30,62.60,61.10,64.90,01/05,60.20,01/28,0.79
8467   波力-KY,"4,945,996","105,001",94,47.10,46.84,47.05,49.00,01/06,44.90,01/26,0.21
8473   山林水,"90,610,715","2,298,647","1,930",39.42,39.42,38.00,41.10,01/04,38.00,01/29,1.71
8478   東哥遊艇,"187,732,726","3,991,047","2,961",47.04,47.08,41.70,59.40,01/04,40.50,01/21,4.39
8480   泰昇-KY,"39,448,185","327,548",272,120.43,120.35,118.50,123.50,01/05,118.00,01/20,0.83
8481   政伸,"56,151,167","793,022",500,70.81,70.48,70.00,72.70,01/04,69.10,01/08,1.19
8482   商億-KY,"196,633,108","2,043,405",780,96.23,94.27,78.80,105.00,01/04,77.60,01/29,1.85
8488   吉源-KY,"34,688,811","2,305,939",901,15.04,14.36,13.90,16.90,01/04,13.65,01/07,3.42
8499   鼎炫-KY,"612,547,657","4,584,461","3,686",133.61,131.85,125.50,143.50,01/06,124.00,01/21,8.94
9802   鈺齊-KY,"3,360,803,397","29,892,788","21,920",112.43,110.48,109.50,120.50,01/22,101.00,01/20,16.05
9902   台火,"388,470,377","33,061,853","10,465",11.75,10.89,10.45,13.40,01/12,10.20,01/22,33.72
9904   寶成,"6,169,027,262","209,250,125","91,375",29.48,29.46,28.00,31.60,01/05,28.00,01/29,7.10
9905   大華,"89,182,198","3,899,492","2,260",22.87,22.71,21.95,23.75,01/04,21.95,01/29,1.28
9907   統一實,"484,581,797","43,903,716","14,945",11.04,10.90,10.20,12.00,01/06,10.10,01/29,2.78
9910   豐泰,"5,026,259,349","26,583,537","21,865",189.07,190.02,180.00,202.50,01/11,179.00,01/28,3.02
9911   櫻花,"250,467,872","4,917,147","5,035",50.94,51.04,49.90,52.80,01/04,49.85,01/29,2.22
9914   美利達,"9,520,019,008","35,777,464","30,609",266.09,263.25,265.50,294.50,01/26,233.00,01/04,11.97
9917   中保科,"513,362,846","5,873,118","5,328",87.41,87.50,86.40,89.50,01/04,86.10,01/29,1.30
9919   康那香,"7,279,238,581","219,264,903","113,543",33.20,32.04,30.60,36.50,01/21,29.25,01/11,112.23
9921   巨大,"7,597,336,648","26,617,482","21,297",285.43,282.58,272.50,301.00,01/27,267.00,01/04,7.10
9924   福興,"170,537,936","3,840,730","2,656",44.40,44.37,43.55,45.30,01/14,43.50,01/29,2.04
9925   新保,"147,119,177","3,970,311","2,922",37.05,37.06,36.65,37.30,01/14,36.65,01/29,1.02
9927   泰銘,"189,593,362","6,197,643","3,576",30.59,29.92,29.40,32.15,01/05,29.20,01/20,2.96
9928   中視,"1,517,101","309,913",201,4.90,4.93,4.89,5.08,01/06,4.50,01/26,0.21
9929   秋雨,"22,836,450","1,647,396",683,13.86,13.91,13.80,14.70,01/04,13.55,01/27,1.63
9930   中聯資源,"111,872,591","2,418,162","2,028",46.26,46.02,44.60,48.30,01/05,44.60,01/29,0.97
9933   中鼎,"1,449,976,182","39,476,568","25,369",36.73,36.40,35.00,38.55,01/04,34.90,01/25,5.17
9934   成霖,"183,137,507","12,195,902","4,656",15.02,15.06,14.85,15.35,01/06,14.75,01/29,3.41
9935   慶豐富,"230,178,700","8,573,368","4,969",26.85,26.84,26.00,28.65,01/04,25.50,01/29,5.05
9938   百和,"7,880,160,099","100,725,564","62,570",78.23,77.31,77.60,83.50,01/29,70.20,01/07,33.80
9939   宏全,"1,011,187,864","16,888,904","9,817",59.87,59.45,56.80,62.20,01/04,56.80,01/29,5.87
9940   信義,"220,611,811","7,784,107","4,995",28.34,28.41,27.35,29.30,01/04,27.30,01/29,1.06
9941   裕融,"1,638,896,267","15,656,331","14,793",104.68,102.65,100.00,114.00,01/11,100.00,01/29,4.71
9941A  裕融甲特,"61,607,715","1,218,474",632,50.56,50.76,50.60,51.40,01/07,50.30,01/28,1.22
9942   茂順,"179,444,301","2,581,128","2,072",69.52,69.19,68.00,71.80,01/19,67.70,01/22,3.10
9944   新麗,"130,561,740","5,912,486","3,472",22.08,21.97,20.80,23.35,01/12,20.40,01/29,5.42
9945   潤泰新,"3,101,984,880","77,399,126","40,932",40.08,40.02,38.75,41.00,01/04,38.75,01/29,5.14
9955   佳龍,"239,044,694","11,943,413","7,138",20.01,19.06,17.90,22.05,01/05,17.70,01/28,11.57
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
指數投資證券,,,,,,,,,,,
ETN,,,,,,,,,,,
020000 富邦特選蘋果N,"10,413,930","1,387,000",283,7.51,7.44,7.34,7.74,01/15,6.80,01/04,2.13
020002 元富新中國N,"898,280","41,000",23,21.91,21.78,22.24,23.04,01/25,20.80,01/05,0.20
020004 兆豐電菁英30N,"1,705,650","53,000",23,32.18,32.02,31.53,32.43,01/15,31.53,01/28,0.53
020006 永昌中小300N,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00
020007 凱基臺灣500N,"62,190","2,000",2,31.10,31.07,31.07,31.12,01/22,31.07,01/22,0.02
020008 元大特股高息N,"8,326,600","737,000",120,11.30,11.30,11.13,11.42,01/12,11.13,01/29,2.46
020011 統一微波高息20N,"2,379,320","448,000",165,5.31,5.31,5.21,5.54,01/14,5.12,01/29,1.12
020012 富邦行動通訊N,"7,784,360","1,241,000",254,6.27,6.27,6.11,6.41,01/11,6.11,01/29,1.03
020015 統一MSCI美低波N,"283,310","21,000",11,13.49,13.44,13.17,13.57,01/26,13.17,01/29,0.07
020016 統一MSCI美科技N,"2,486,000","144,000",27,17.26,17.30,17.32,17.75,01/26,16.94,01/05,0.48
020018 統一價值成長30N,"23,627,300","1,939,000",372,12.19,12.20,11.83,12.51,01/14,11.83,01/29,6.46
020019 統一特選台灣5GN,"118,026,090","8,891,000","1,926",13.27,13.15,13.05,14.02,01/22,11.88,01/04,9.88
02001L 富邦蘋果正二N,"19,307,860","1,545,000",299,12.50,12.11,11.59,13.24,01/26,10.34,01/04,3.09
02001R 富邦蘋果反一N,"1,718,320","570,000",36,3.01,3.04,2.96,3.26,01/05,2.90,01/15,1.14
020020 元大台股領航N,"278,110,870","43,740,000","8,269",6.36,6.36,6.29,6.69,01/21,5.83,01/04,3.12
020022 元大電動車N,"1,035,886,790","195,829,000","34,349",5.29,5.29,5.13,5.44,01/15,5.11,01/20,97.91
ETF,,,,,,,,,,,
ETF,,,,,,,,,,,
0050   元大台灣50,"36,479,640,756","272,528,991","261,424",133.86,132.72,128.20,143.25,01/21,122.00,01/04,30.11
0051   元大中型100,"54,897,923","1,224,403",971,44.84,44.88,43.70,45.90,01/26,43.70,01/29,12.24
0052   富邦科技,"4,510,964,702","35,885,651","29,545",125.70,123.69,122.15,136.85,01/21,110.60,01/04,69.68
0053   元大電子,"68,775,544","1,078,967",938,63.74,63.59,63.20,68.40,01/21,57.30,01/04,19.66
0054   元大台商50,"17,731,331","588,756",316,30.12,30.04,29.50,31.07,01/26,28.30,01/04,7.72
0055   元大MSCI金融,"51,628,631","2,875,361","1,319",17.96,17.93,17.25,18.44,01/12,17.25,01/29,7.84
0056   元大高股息,"12,278,208,788","402,808,720","181,852",30.48,30.49,30.26,31.13,01/15,29.80,01/04,19.28
0057   富邦摩台,"79,580,641","907,381",224,87.70,87.65,86.85,93.50,01/21,81.00,01/04,16.42
0061   元大寶滬深,"386,476,109","15,465,033","5,629",24.99,25.06,24.48,25.90,01/13,23.68,01/04,10.48
006203 元大MSCI台灣,"19,769,409","319,138",305,61.95,61.59,59.95,65.95,01/21,57.40,01/04,2.98
006204 永豐臺灣加權,"8,474,346","108,594",169,78.04,77.76,77.70,80.35,01/22,73.85,01/04,5.43
006205 富邦上証,"1,658,794,188","41,176,534","9,085",40.28,40.36,39.49,41.56,01/13,38.46,01/04,30.75
006206 元大上證50,"802,054,842","19,451,202","3,377",41.23,41.33,40.45,42.85,01/13,39.26,01/04,40.29
006207 FH滬深,"441,624,416","13,560,081","2,826",32.57,32.71,31.94,33.70,01/13,30.90,01/04,29.55
006208 富邦台50,"3,825,177,775","50,620,956","45,415",75.57,75.17,73.55,80.60,01/21,68.75,01/04,46.64
00625K 富邦上証+R,"4,089,270","436,000",50,9.38,9.37,9.36,9.60,01/25,9.06,01/05,115.96
00631L 元大台灣50正2,"9,974,573,505","97,836,597","33,851",101.95,102.07,97.10,112.05,01/21,89.65,01/04,90.52
00632R 元大台灣50反1,"25,705,215,164","3,908,223,527","259,638",6.58,6.58,6.72,7.01,01/04,6.28,01/21,36.78
00633L 富邦上証正2,"14,133,328,172","181,326,126","33,304",77.94,77.98,75.20,83.10,01/13,70.70,01/04,123.81
00634R 富邦上証反1,"133,173,073","35,085,227","2,763",3.80,3.78,3.84,3.99,01/04,3.66,01/13,28.01
00635U 元大S&P黃金,"538,190,744","21,273,887","8,516",25.30,25.29,24.91,26.49,01/06,24.62,01/18,30.83
00636  國泰中國A50,"930,912,548","32,236,394","9,278",28.88,29.00,28.58,30.00,01/13,27.46,01/04,25.95
00636K 國泰中國A50+U,"24,806","2,400",20,10.34,10.33,10.25,10.59,01/13,9.96,01/04,3.42
00637L 元大滬深300正2,"41,306,381,459","1,346,787,800","147,305",30.67,30.64,29.60,32.66,01/13,27.74,01/04,232.36
