公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,114367.25,32.87,27.4,30.91,24.48
1102,亞泥,78240.88,29.82,25.14,30.86,23.99
1103,嘉泥,2058.42,-6.98,39.96,102.31,89.29
1104,環泥,5426.22,16.72,9.09,23.91,23.22
1108,幸福,4530.17,15.82,9.88,9.81,8.66
1109,信大,7593.29,34.37,27.69,27.9,19.08
1110,東泥,1590.99,4.23,-1.92,0.47,1.07
1201,味全,18650.87,29.19,3.19,2.91,2.87
1203,味王,6043.7,33.82,16.13,15.57,11.48
1210,大成,81650.89,15.02,5.16,6.1,4.99
1213,大飲,409.61,1.35,-12.8,-7.46,-6.65
1215,卜蜂,22189.64,15.88,8.56,9.23,7.39
1216,統一,447319.98,34.43,6.66,8.59,6.89
1217,愛之味,4614.49,32.92,4.68,6.72,5.4
1218,泰山,8356.13,19.63,3.79,10.84,10.19
1219,福壽,12324.17,11.02,2.69,5.48,4.59
1220,台榮,2775.07,16.11,7.87,8.53,6.84
1225,福懋油,10213.49,10.89,4.98,5.51,4.09
1227,佳格,34466.24,27.88,11.73,12.44,9.45
1229,聯華,9544.16,21.34,11,38.06,36.67
1231,聯華食,8817.32,21.4,8.38,9.66,7.78
1232,大統益,17440.98,14.04,9.28,9.47,7.58
1233,天仁,1906.19,57.46,3.41,3.68,3.01
1234,黑松,9204.95,28.63,6.69,11.24,9.67
1235,興泰,78.58,46.45,22.65,89.59,83.53
1236,宏亞,1637.28,28.61,-0.7,0.01,0.01
1256,鮮活果汁-KY,3479.68,45.95,28.45,29.29,22.32
1301,台塑,185813.41,15.64,9.2,13.01,10.78
1303,南亞,273353.81,14.49,7.76,11.13,9.84
1304,台聚,50201.27,20.88,13.74,14.18,11.32
1305,華夏,13733.15,24.46,15.68,15.74,13.05
1307,三芳,8441.76,22.08,5.9,4.08,2.58
1308,亞聚,5703.55,19.8,16.17,22.54,19.35
1309,台達化,15498.38,20.15,15.62,16.01,12.39
1310,台苯,8113.23,3.76,1.11,4.55,3.57
1312,國喬,16575.78,18.74,10.6,30.82,26.07
1313,聯成,51866.84,8.94,4.38,5.17,4.11
1314,中石化,17583.09,0.22,-10.31,0.59,3.84
1315,達新,2233.54,17.11,1.7,265.64,243.12
1316,上曜,1236.44,20.94,-2.58,-8.44,5.26
1319,東陽,17322.99,19.87,3.12,5.11,4.29
1321,大洋,4980.02,12.05,4.67,8.07,14.36
1323,永裕,3406.53,25.27,13.56,13.9,10.37
1324,地球,1055.76,17.36,1.52,2.15,1.55
1325,恆大,4056.86,66.7,62.23,62.4,49.66
1326,台化,253294.67,11.66,6.05,9.78,8.51
1337,再生-KY,1008.16,-47.43,-133.83,-130.22,-130.22
1338,廣華-KY,6166.48,22.61,4.15,6.77,4.66
1339,昭輝,2120.9,30.06,16.52,8.43,5.64
1340,勝悅-KY,656.41,-39.56,-61.08,-59.99,-59.38
1341,富林-KY,2664.42,23.57,14.77,14.89,11.67
1342,八貫,1531.35,25.5,16.31,16.22,12.81
1402,遠東新,206769.28,19.54,4.84,7.8,6.28
