出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,108,2,1101,台泥,56723486,40912170,--,--,15811316,--,--,15811316,3033883,--,12777433,2161014,14938447,3077661,11860786,--,--,11860786,8452594,--,20313380,11181977,--,678809,19541962,--,771418,2.19
110/05/15,108,2,1102,亞泥,43805590,31070878,--,--,12734712,--,0,12734712,1866120,--,10868592,3798227,14666819,3231878,11434941,--,--,11434941,3399948,--,14834889,9119017,--,2315924,12398491,--,2436398,2.91
110/05/15,108,2,1103,嘉泥,890409,771777,--,--,118632,--,--,118632,233328,--,-114696,419676,304980,120304,184676,603655,--,788331,3019080,--,3807411,728351,--,59980,3632658,--,174753,1.13
110/05/15,108,2,1104,環泥,2381467,2150489,--,--,230978,--,--,230978,201673,--,29305,447907,477212,17900,459312,--,--,459312,261804,--,721116,456928,--,2384,718732,--,2384,0.7
110/05/15,108,2,1108,幸福,1735453,1638679,--,--,96774,--,--,96774,112653,4120,-11759,-11903,-23662,-8061,-15601,0,--,-15601,35284,--,19683,-15601,--,0,19683,--,0,-0.04
110/05/15,108,2,1109,信大,3572170,2418983,--,--,1153187,--,--,1153187,223020,--,930167,-6670,923497,342366,581131,--,--,581131,42848,--,623979,355818,--,225313,384370,--,239609,1.04
110/05/15,108,2,1110,東泥,781597,747413,--,--,34184,--,--,34184,40675,--,-6491,38314,31823,6787,25036,--,--,25036,92061,--,117097,24861,--,175,116898,--,199,0.04
110/05/15,108,2,1201,味全,9773386,6817356,--,--,2956030,--,--,2956030,2791142,--,164888,1213506,1378394,210599,1167795,--,--,1167795,40294,--,1208089,1167361,--,434,1207603,--,486,2.31
110/05/15,108,2,1203,味王,3052938,2086767,--,--,966171,0,0,966171,517601,--,448570,23394,471964,112056,359908,0,--,359908,148833,--,508741,243209,--,116699,324178,--,184563,1.02
110/05/15,108,2,1210,大成,37169736,31691578,--,--,5478158,--,--,5478158,3967909,--,1510249,99790,1610039,396549,1213490,--,--,1213490,640777,--,1854267,1052034,--,161456,1680884,--,173383,1.42
110/05/15,108,2,1213,大飲,226003,208371,--,--,17632,--,--,17632,32933,--,-15301,-11019,-26320,-3330,-22990,--,--,-22990,2,--,-22988,-22990,--,--,-22988,--,--,-0.41
110/05/15,108,2,1215,卜蜂,10185768,8629252,--,--,1556516,--,--,1556516,742624,10852,824744,329,825073,170636,654437,-5190,--,649247,411550,--,1060797,631874,--,17373,1042206,--,18591,2.36
110/05/15,108,2,1216,統一,222271655,144681557,--,--,77590098,--,--,77590098,60609261,--,16980837,3863728,20844565,4446738,16397827,--,--,16397827,1937301,--,18335128,11045991,--,5351836,12421733,--,5913395,1.94
110/05/15,108,2,1217,愛之味,2052804,1387470,--,--,665334,--,--,665334,595000,--,70334,-38798,31536,5966,25570,0,--,25570,52748,--,78318,17569,--,8001,68287,--,10031,0.04
110/05/15,108,2,1218,泰山,3616876,2967991,--,--,648885,707,1500,649678,604904,--,44774,215049,259823,16983,242840,--,--,242840,6737,--,249577,242654,--,186,249391,--,186,0.5
110/05/15,108,2,1219,福壽,5978789,5492213,--,7000,493576,--,--,493576,458905,--,34671,-9532,25139,18118,7021,--,--,7021,701,--,7722,44315,--,-37294,45164,--,-37442,0.14
110/05/15,108,2,1220,台榮,1307138,1135898,--,--,171240,--,--,171240,114447,--,56793,-441,56352,12719,43633,--,--,43633,0,--,43633,34184,--,9449,34184,--,9449,0.19
110/05/15,108,2,1225,福懋油,5111461,4645095,11174,--,477540,-999,--,478539,285880,274,192933,22315,215248,43096,172152,--,--,172152,6414,--,178566,150752,--,21400,157166,--,21400,0.69
110/05/15,108,2,1227,佳格,13407620,9319511,--,--,4088109,--,--,4088109,2350581,--,1737528,70938,1808466,393202,1415264,--,--,1415264,90102,--,1505366,1399795,--,15469,1479778,--,25588,1.54
110/05/15,108,2,1229,聯華,3253332,2726267,--,--,527065,--,--,527065,383041,--,144024,1238137,1382161,96928,1285233,--,--,1285233,2107255,--,3392488,1309712,--,-24479,3130477,--,262011,1.25
110/05/15,108,2,1231,聯華食,4149226,3298972,--,--,850254,--,--,850254,636641,--,213613,46433,260046,56042,204004,--,--,204004,2430,--,206434,203247,--,757,205502,--,932,1.22
110/05/15,108,2,1232,大統益,8230892,7218718,--,--,1012174,--,--,1012174,387967,--,624207,28488,652695,131705,520990,--,--,520990,0,--,520990,508786,--,12204,508786,--,12204,3.18
110/05/15,108,2,1233,天仁,1099704,461333,--,--,638371,0,0,638371,547255,--,91116,15004,106120,20275,85845,--,--,85845,-28114,--,57731,85639,--,206,57460,--,271,0.95
110/05/15,108,2,1234,黑松,4151197,3164772,--,--,986425,--,--,986425,894663,--,91762,271949,363711,41382,322329,--,--,322329,1903,--,324232,322329,--,--,324232,--,--,0.8
110/05/15,108,2,1235,興泰,13371,12260,--,--,1111,--,--,1111,6641,--,-5530,-47796,-53326,28,-53354,--,--,-53354,-11877,--,-65231,-53354,--,--,-65231,--,--,-0.56
110/05/15,108,2,1236,宏亞,820821,634518,--,--,186303,--,--,186303,236009,--,-49706,10150,-39556,4039,-43595,--,--,-43595,-106762,--,-150357,-43595,--,--,-150357,--,0,-0.4
110/05/15,108,2,1256,鮮活果汁-KY,1729872,1070332,--,--,659540,--,--,659540,294485,--,365055,15448,380503,104376,276127,--,--,276127,18215,--,294342,276016,--,111,294255,--,87,8.16
110/05/15,108,2,1301,台塑,109581363,90814049,--,--,18767314,--,--,18767314,5885052,--,12882262,9023547,21905809,3408835,18496974,--,--,18496974,7552989,--,26049963,18496974,--,--,26049963,--,--,2.91
110/05/15,108,2,1303,南亞,142771871,129433934,--,--,13337937,--,20190,13358127,8777351,--,4580776,8192950,12773726,1970913,10802813,--,--,10802813,6204828,--,17007641,10909119,--,-106306,17087893,--,-80252,1.38
110/05/15,108,2,1304,台聚,27994606,24855023,--,--,3139583,--,--,3139583,1913768,--,1225815,486822,1712637,429448,1283189,4397,--,1287586,270052,--,1557638,696061,--,591525,857614,--,700024,0.65
110/05/15,108,2,1305,華夏,7582278,6778136,--,--,804142,--,--,804142,590344,--,213798,75312,289110,54811,234299,4397,--,238696,18615,--,257311,233759,--,4937,252368,--,4943,0.44
110/05/15,108,2,1307,三芳,4991350,3915290,--,--,1076060,--,--,1076060,812084,--,263976,36153,300129,99280,200849,--,--,200849,83751,--,284600,200849,--,--,284600,--,--,0.5
110/05/15,108,2,1308,亞聚,3395312,2971509,--,--,423803,--,--,423803,117399,--,306404,106471,412875,71865,341010,--,--,341010,41798,--,382808,341010,0,--,382808,0,--,0.62
110/05/15,108,2,1309,台達化,9081896,8351656,--,--,730240,--,--,730240,373664,--,356576,58681,415257,109667,305590,--,--,305590,6017,--,311607,305590,--,--,311607,--,--,0.91
