出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,110,1,1101,台泥,22037652,16512812,--,--,5524840,--,--,5524840,1317264,--,4207576,647497,4855073,1113682,3741391,-11154,--,3730237,-693024,--,3037213,3318974,--,411263,2621147,--,416066,0.57
110/05/15,110,1,1102,亞泥,17877389,13517201,--,--,4360188,--,--,4360188,637168,--,3723020,1020863,4743883,894641,3849242,--,--,3849242,-253421,--,3595821,3200039,--,649203,3059849,--,535972,1.02
110/05/15,110,1,1103,嘉泥,544526,554747,--,--,-10221,--,--,-10221,125049,--,-135270,24440,-110830,9475,-120305,0,--,-120305,1054987,--,934682,-127102,--,6797,885274,--,49408,-0.2
110/05/15,110,1,1104,環泥,1440498,1189734,--,--,250764,--,--,250764,109193,--,141571,117155,258726,21575,237151,--,--,237151,-3004,--,234147,229468,--,7683,226464,--,7683,0.35
110/05/15,110,1,1108,幸福,1045953,906447,--,--,139506,--,--,139506,62623,132,77015,-5805,71210,16784,54426,0,--,54426,6046,--,60472,54426,--,0,60472,--,0,0.13
110/05/15,110,1,1109,信大,1812350,1210449,--,--,601901,--,--,601901,112800,--,489101,28424,517525,117154,400371,--,--,400371,-40910,--,359461,284417,--,115954,257138,--,102323,0.83
110/05/15,110,1,1110,東泥,387342,362013,--,--,25329,--,--,25329,22449,--,2880,17111,19991,5784,14207,--,--,14207,15186,--,29393,15759,--,-1552,30983,--,-1590,0.03
110/05/15,110,1,1201,味全,4372012,3095304,--,--,1276708,--,--,1276708,1180773,--,95935,20680,116615,32007,84608,--,--,84608,-19317,--,65291,84450,--,158,65148,--,143,0.17
110/05/15,110,1,1203,味王,1490550,976547,--,--,514003,0,0,514003,254374,--,259629,35083,294712,78705,216007,--,--,216007,-63883,--,152124,130453,--,85554,105763,--,46361,0.55
110/05/15,110,1,1210,大成,22637984,19506989,--,--,3130995,--,--,3130995,2259309,--,871686,269556,1141242,217977,923265,--,--,923265,-74094,--,849171,788354,--,134911,726471,--,122700,1.01
110/05/15,110,1,1213,大飲,102264,99259,--,--,3005,--,--,3005,14823,--,-11818,-1882,-13700,-36,-13664,--,--,-13664,4,--,-13660,-13664,--,--,-13660,--,--,-0.24
110/05/15,110,1,1215,卜蜂,5718985,4814259,--,--,904726,--,--,904726,428522,-7614,468590,431,469021,90241,378780,0,--,378780,136072,--,514852,387237,--,-8457,523309,--,-8457,1.45
110/05/15,110,1,1216,統一,115462004,76322069,--,--,39139935,--,--,39139935,31714023,--,7425912,2080044,9505956,1707448,7798508,--,--,7798508,-120678,--,7677830,5404508,--,2394000,5364607,--,2313223,0.95
110/05/15,110,1,1217,愛之味,1095839,749923,--,--,345916,--,--,345916,284393,--,61523,23709,85232,12067,73165,0,--,73165,310920,--,384085,68031,--,5134,369950,--,14135,0.14
110/05/15,110,1,1218,泰山,2259043,1889721,--,--,369322,1134,702,368890,292251,--,76639,107972,184611,19500,165111,--,--,165111,2952,--,168063,165063,--,48,167999,--,64,0.34
110/05/15,110,1,1219,福壽,3720354,3200224,--,-6924,513206,--,--,513206,275842,--,237364,30761,268125,40132,227993,--,--,227993,-654,--,227339,235355,--,-7362,234816,--,-7477,0.73
110/05/15,110,1,1220,台榮,708205,568791,--,--,139414,--,--,139414,54827,--,84587,5409,89996,17147,72849,--,--,72849,0,--,72849,64652,--,8197,64652,--,8197,0.37
